stem;dataset;top;desc_id;desc;vid_name;ts;source;requirements;complexity;identities;event_id;rank_base;rank_variant;correct_in_top_base;correct_in_top_variant
object;tbbt;4;49339;Leonard, in a pink shirt, sits on the sofa, reading a wine tasting book with a grimace.;tbbt_s09e22;[306.14, 312.54];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_mimiki;P;Leonard;tbbt_s09e22_d49339;1;1;yes;yes
object;tbbt;4;53119;Sheldon, with a red nose, walks out of the room with a tissue in his hand.;tbbt_s03e15;[1140.32, 1145.12];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;P;Sheldon;tbbt_s03e15_d53119;3;3;yes;yes
object;tbbt;4;9220001;A shot of Howard touching a spinning contraption at the office with a workbench cluttered with tools and electronic parts.;tbbt_s09e22;[206.24, 207.99];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;P;Howard;tbbt_s09e22_001;4;4;yes;yes
object;tbbt;4;80617;Penny, in a blue shirt, walks over to a whiteboard with equations on it.;tbbt_s01e01;[394.21, 399.78];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;P;Penny;tbbt_s01e01_d80617;2;2;yes;yes
object;tbbt;4;38095;Leonard, with a happy smile, in a Flash costume, answers the door.;tbbt_s01e06;[172.48, 183.42];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu,wymaga_mimiki;P;Leonard;tbbt_s01e06_d38095;2;2;yes;yes
object;tbbt;4;28227;Penny, in a pink shirt, pours laundry detergent into the washing machine.;tbbt_s02e01;[302.31, 307.02];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;P;Penny;tbbt_s02e01_d28227;2;2;yes;yes
object;tbbt;4;53266;Sheldon folds up the cardboard version of Spock.;tbbt_s05e13;[1197.68, 1200.8];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;P;Sheldon;tbbt_s05e13_d53266;2;2;yes;yes
object;tbbt;4;45200;Stuart holds up a Chewbacca mug above the cash register.;tbbt_s06e01;[1075.11, 1080.96];tbbt;wymaga_obiektu,wymaga_ruchu;P;;tbbt_s06e01_d45200;2;2;yes;yes
object;tbbt;4;37859;Upset Leonard, in a thick puffer jacket, takes champagne from the ice bucket in the hotel room.;tbbt_s03e15;[1243.39, 1246.36];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu,wymaga_mimiki;P;Leonard;tbbt_s03e15_d37859;1;1;yes;yes
object;tbbt;4;84031;Sheldon takes two can koozies from a paper bag, while sitting at the canteen.;tbbt_s04e12;[743.44, 753.64];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;P;Sheldon;tbbt_s04e12_d84031;1;1;yes;yes
object;tbbt;4;28862;Sheldon stands in the hallway talking to a Spock cutout.;tbbt_s05e13;[107.47, 116.49];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii;P;Sheldon;tbbt_s05e13_d28862;1;1;yes;yes
object;tbbt;4;38401;Howard walks into the living room carrying two juice boxes with straws.;tbbt_s01e01;[1043.78, 1047.4];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;P;Howard;tbbt_s01e01_d38401;7;7;no;no
object;tbbt;4;38397;Leonard shakes the doors to the apartment building with both hands.;tbbt_s01e01;[1097.01, 1102.07];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;P;Leonard;tbbt_s01e01_d38397;95;95;no;no
object;tbbt;4;54548;Raj, in costume, smiling, raises his brown hammer.;tbbt_s01e06;[426.48, 427.99];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu,wymaga_mimiki;P;Raj;tbbt_s01e06_d54548;47;47;no;no
object;tbbt;4;29619;Howard, in maroon pajamas, lies down on the blue air mattress.;tbbt_s02e01;[1013.02, 1022.32];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;P;Howard;tbbt_s02e01_d29619;6;6;no;no
object;tbbt;4;47822;Sheldon, in a brown shirt with blue sleeves, takes the cap off the red marker he is holding.;tbbt_s02e13;[518.61, 521.96];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;P;Sheldon;tbbt_s02e13_d47822;191;191;no;no
object;tbbt;4;47852;Enthusiastic Sheldon, in a shirt with a colorful chevron pattern, points to the giant whiteboard behind him that he has set up in the apartment.;tbbt_s02e13;[712.46, 717.2];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu,wymaga_mimiki;P;Sheldon;tbbt_s02e13_d47852;5;5;no;no
object;tbbt;4;62366;Sheldon holds up two beanies by his head.;tbbt_s03e15;[228.04, 235.45];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;P;Sheldon;tbbt_s03e15_d62366;8;8;no;no
object;tbbt;4;53186;Happy Sheldon, in a purple shirt, puts food from a frying pan down onto a plate.;tbbt_s03e15;[943.48, 946.9];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu,wymaga_mimiki;P;Sheldon;tbbt_s03e15_d53186;40;40;no;no
object;tbbt;4;28541;Penny, in a pink sleeveless top, puts the bag in the freezer.;tbbt_s03e19;[671.9, 675.49];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;P;Penny;tbbt_s03e19_d28541;10;10;no;no
object;tbbt;4;78581;Howard is struggling to take a black bowling ball from the tray.;tbbt_s03e19;[986.67, 990.88];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;P;Howard;tbbt_s03e19_d78581;31;31;no;no
object;tbbt;4;80032;Sheldon adjusts a machine standing at the desk near the window and bookcase, while looking at it.;tbbt_s05e09;[518.3, 528.2];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;P;Sheldon;tbbt_s05e09_d80032;11;11;no;no
object;tbbt;4;3372;Penny wipes the cream off the spatula with a tissue.;tbbt_s06e01;[192.62, 197.16];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;P;Penny;tbbt_s06e01_d3372;21;21;no;no
object;tbbt;4;34292;Amy nods her head left and right, and then straight up, while standing behind the camera on the tripod.;tbbt_s06e07;[90.71, 92.1];tbbt;wymaga_obiektu,wymaga_ruchu;P;;tbbt_s06e07_d34292;6;6;no;no
object;tbbt;4;78971;Sheldon takes his phone out of his pocket at an office with a workbench cluttered with tools and electronic parts.;tbbt_s09e22;[207.99, 210.9];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;P;Sheldon;tbbt_s09e22_d78971;9;9;no;no
object;tbbt;4;56244;Sheldon, in a blue Superman shirt, slams a comic book down on the table.;tbbt_s08e04;[286.37, 288.08];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;P;Sheldon;tbbt_s08e04_d56244;2;145;yes;no
object;tbbt;4;3381;Amy angrily closes the restaurant menu while sitting at the table.;tbbt_s06e01;[562.31, 565.06];tbbt;wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;P;;tbbt_s06e01_d3381;2;1;yes;yes
object;tbbt;4;40212;Sheldon, in a blue plaid shirt, is sitting at his desk and puts a pencil in a pencil cup.;tbbt_s02e01;[156.6, 159.69];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;P;Sheldon;tbbt_s02e01_d40212;26;308;no;no
object;tbbt;4;82971;Leonard, in a yellow hoodie and purple jacket, starts slicing the cheese with a knife.;tbbt_s03e15;[318.39, 323.49];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;P;Leonard;tbbt_s03e15_d82971;538;609;no;no
object;tbbt;4;42301;Sheldon, standing in front of a bookcase, near the window with drapes, dials a number on his cell phone.;tbbt_s05e09;[228.26, 230.31];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;P;Sheldon;tbbt_s05e09_d42301;36;16;no;no
object;tbbt;4;45206;Raj places the cup he was holding on the counter.;tbbt_s06e01;[1152.09, 1157.78];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;P;Raj;tbbt_s06e01_d45206;315;87;no;no
object;tbbt;4;13284;Sheldon, in a green shirt with a tie, hits a fork against his glass of milk as a toast.;tbbt_s06e24;[874.09, 879.7];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;P;Sheldon;tbbt_s06e24_d13284;266;65;no;no
object;tbbt;4;77720;Sheldon, in a blue shirt with orange sleeves, slams down his drink as he sits at the cafeteria table.;tbbt_s02e13;[61.63, 68.44];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;P;Sheldon;tbbt_s02e13_d77720;8;45;no;no
object;tbbt;4;74099;Sheldon, in a mint green shirt, walks towards the grey couch with a drink in his hand.;tbbt_s02e01;[867.2, 873.4];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;P;Sheldon;tbbt_s02e01_d74099;103;50;no;no
object;tbbt;4;56526;Sheldon lies on his bed in a white shirt and suit pants, looking at his phone in silence.;tbbt_s08e08;[842.81, 844.94];tbbt;wymaga_osoby,wymaga_obiektu;P;Sheldon;tbbt_s08e08_d56526;35;29;no;no
