id;type;start;end;desc;tags
office_s07e14_001;event;4.53;12.58;Kelly stands next to Ryan, presenting a ring with her hand outstretched, then throws it on the ground.;
office_s07e14_002;event;54.50;57.84;Ryan, in a light shirt and striped tie, stands by Kelly, in a yellow cardigan over a floral top, who touches his arm while he covers his eyes and scratches his head, stressed.;
office_s07e14_m001;mask;88.30;109.27;;
office_s07e14_003;event;109.28;111.61;Jim, with a bag over his shoulder, leans down and kisses Pam on the head at her desk.;
office_s07e14_034;event;216.49;218.49;A wide shot of a brown brick building with a silver car parked in front of it.;
office_s07e14_004;event;216.49;220.97;Michael and Jim walking out the entrance as a silver car is parked out front.;
office_s07e14_005;event;262.22;276.22;Jim and Michael riding in a car, Michael rubbing his eyes with his fingers while talking.;
office_s07e14_007;event;301.72;307.76;Jim is pounding and yelling at closed doors in a rush.;
office_s07e14_006;event;311.42;322.12;Jim is leaving the gas station by car in a rush.;
office_s07e14_008;event;329.10;331.99;A man in a navy blue jumpsuit stands outside the gas station.;
office_s07e14_009;event;390.87;395.01;Pam talks on the phone, smiling flirtatiously, tongue slightly poking out, eyebrows raised.;
office_s07e14_010;event;431.12;443.33;A man in a striped shirt with long white sleeves takes something from Michael's hand in a store.;
office_s07e14_011;event;443.32;452.68;A shot of Michael in front of a gas station, gas pumps behind him and someone cleaning the window of his car.;
office_s07e14_012;event;484.39;492.57;Pam finds a white sheet of paper with a drawing on it on the office fridge.;
office_s07e14_035;event;485.61;488.81;Pam smiles as he sees a drawing of a printer pinned to the fridge.;
office_s07e14_013;event;530.19;532.38;Darryl stands in the office glass doorway holding his mug, calmly yelling something with his mouth open.;
office_s07e14_014;event;576.65;578.16;A shot of a sidewalk lined with trees, a large donut bakery sign hanging on the storefront.;
office_s07e14_015;event;584.25;588.61;Dwight and Erin, standing next to another woman, high-five each other and run towards the car.;
office_s07e14_016;event;603.61;615.41;Michael is playing with energetic puppies in cages.;
office_s07e14_017;event;615.41;626.41;Michael stands and talks to colorful parrots at a pet store.;
office_s07e14_018;event;626.41;631.88;Michael is looking at a snake in a glass cage and making a disgusted face.;
office_s07e14_019;event;631.89;637.18;Michael holds a light-colored puppy up to his face and gets licked.;
office_s07e14_020;event;721.92;731.58;A man in a suit holds two packs of sticky notes, pink and yellow, up to his face.;
office_s07e14_021;event;782.51;786.46;Michael looking around and standing by a busy road, a food stand with a man in the window behind him.;
office_s07e14_022;event;843.27;853.80;A shot through the glass of Michael at the restaurant table, searching his jacket pockets.;
office_s07e14_023;event;910.22;915.74;Michael bites his lip, uncomfortable, when a big man in a kitchen apron comes up to him.;
office_s07e14_024;event;926.00;931.27;A shot of Dwight talking to a waiter at a restaurant while Erin points at a photo on a wooden board.;
office_s07e14_025;event;943.97;955.73;Dwight talks to a waiter at the restaurant, gesturing with his hands to explain something.;
office_s07e14_026;event;980.54;982.07;Meredith presses a key on her keyboard very expressively while sitting at her desk.;
office_s07e14_027;event;998.21;1003.43;A tall man in a suit approaches Phyllis's desk and pushes her chair back from the computer.;
office_s07e14_028;event;1013.33;1016.88;The tall man turns around, revealing many sticky notes covering the back of his suit.;
office_s07e14_029;event;1016.85;1031.35;Michael walking around a poor area with homeless people, then hiding in an alley with dumpsters.;
office_s07e14_030;event;1145.32;1155.52;Dwight presses his fingers to his temples with a focused expression and closed eyes, standing on the street next to Erin.;
office_s07e14_031;event;1166.55;1181.17;A shot of a blonde woman climbing stairs to the roof of a building, with Erin following her.;
office_s07e14_032;event;1185.81;1198.62;A blonde woman standing on the rooftop meets Michael, who is leaning his hands on the edge of the roof.;
office_s07e14_033;event;1239.03;1246.04;Erin walks through the door onto the rooftop and finds Michael and blonde woman kissing.;
office_s07e14_m002;mask;1287.55;1326.33;;
