stem;dataset;top;desc_id;desc;vid_name;ts;source;requirements;complexity;identities;event_id;rank_base;rank_variant;correct_in_top_base;correct_in_top_variant
scenery;tbbt;3;3381;Amy angrily closes the restaurant menu while sitting at the table.;tbbt_s06e01;[562.31, 565.06];tbbt;wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;P;;tbbt_s06e01_d3381;2;1;yes;yes
scenery;tbbt;3;53115;Leonard is outside the bathroom door and massages his belly with a pained face.;tbbt_s03e15;[1100.99, 1106.14];tbbt;wymaga_osoby,wymaga_scenerii,wymaga_ruchu,wymaga_mimiki;P;Leonard;tbbt_s03e15_d53115;6;1;no;yes
scenery;tbbt;3;38397;Leonard shakes the doors to the apartment building with both hands.;tbbt_s01e01;[1097.01, 1102.07];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;P;Leonard;tbbt_s01e01_d38397;95;31;no;no
scenery;tbbt;3;6010002;A wide shot of the space station with swirling clouds around it.;tbbt_s06e01;[85.0, 88.8];tbbt;wymaga_scenerii,wymaga_ruchu;P;;tbbt_s06e01_002;26;7;no;no
scenery;tbbt;3;80586;Sheldon, in plaid pants, opens two bottles on the kitchen island.;tbbt_s01e01;[769.58, 782.94];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;P;Sheldon;tbbt_s01e01_d80586;29;12;no;no
scenery;tbbt;3;33246;Sheldon slowly moves up the tall climbing wall.;tbbt_s02e13;[929.57, 938.16];tbbt;wymaga_osoby,wymaga_scenerii,wymaga_ruchu;P;Sheldon;tbbt_s02e13_d33246;11;5;no;no
scenery;tbbt;3;77720;Sheldon, in a blue shirt with orange sleeves, slams down his drink as he sits at the cafeteria table.;tbbt_s02e13;[61.63, 68.44];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;P;Sheldon;tbbt_s02e13_d77720;8;5;no;no
scenery;tbbt;3;37859;Upset Leonard, in a thick puffer jacket, takes champagne from the ice bucket in the hotel room.;tbbt_s03e15;[1243.39, 1246.36];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu,wymaga_mimiki;P;Leonard;tbbt_s03e15_d37859;1;1;yes;yes
scenery;tbbt;3;84031;Sheldon takes two can koozies from a paper bag, while sitting at the canteen.;tbbt_s04e12;[743.44, 753.64];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;P;Sheldon;tbbt_s04e12_d84031;1;1;yes;yes
scenery;tbbt;3;28862;Sheldon stands in the hallway talking to a Spock cutout.;tbbt_s05e13;[107.47, 116.49];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii;P;Sheldon;tbbt_s05e13_d28862;1;1;yes;yes
scenery;tbbt;3;30155;Amy, in a brown sweater and pink shirt, opens her mouth in surprise while standing near the kitchen.;tbbt_s06e07;[188.7, 190.59];tbbt;wymaga_scenerii,wymaga_ruchu,wymaga_mimiki;P;;tbbt_s06e07_d30155;1;1;yes;yes
scenery;tbbt;3;19962;Penny licks her fingers, at the bowling lane.;tbbt_s03e19;[571.85, 575.87];tbbt;wymaga_osoby,wymaga_scenerii,wymaga_ruchu;P;Penny;tbbt_s03e19_d19962;49;208;no;no
scenery;tbbt;3;39257;A shot of Sheldon walking up the stairs with a large orange paint mark on the back of his paintball suit.;tbbt_s01e06;[36.7, 46.38];tbbt;wymaga_osoby,wymaga_scenerii,wymaga_ruchu;P;Sheldon;tbbt_s01e06_d39257;1;4;yes;no
scenery;tbbt;3;38099;Raj jumps into the apartment wearing a Flash costume.;tbbt_s01e06;[194.81, 196.98];tbbt;wymaga_osoby,wymaga_scenerii,wymaga_ruchu;P;Raj;tbbt_s01e06_d38099;2;2;yes;yes
scenery;tbbt;3;6010004;A wide shot of the International Space Station orbiting above the curve of the Earth.;tbbt_s06e01;[796.48, 803.81];tbbt;wymaga_scenerii,wymaga_ruchu;P;;tbbt_s06e01_004;2;2;yes;yes
scenery;tbbt;3;28798;Sheldon, in an orange shirt, looks down with a shy, pleased smile, at the comic store.;tbbt_s03e19;[323.0, 324.86];tbbt;wymaga_osoby,wymaga_scenerii,wymaga_mimiki;P;Sheldon;tbbt_s03e19_d28798;3;3;yes;yes
scenery;tbbt;3;4010004;Amy's expressionless face suddenly shifts into a smug, close-lipped smile at the restaurant table.;tbbt_s04e01;[1026.68, 1027.96];tbbt;wymaga_scenerii,wymaga_ruchu,wymaga_mimiki;P;;tbbt_s04e01_004;20;39;no;no
scenery;tbbt;3;38401;Howard walks into the living room carrying two juice boxes with straws.;tbbt_s01e01;[1043.78, 1047.4];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;P;Howard;tbbt_s01e01_d38401;7;19;no;no
scenery;tbbt;3;78971;Sheldon takes his phone out of his pocket at an office with a workbench cluttered with tools and electronic parts.;tbbt_s09e22;[207.99, 210.9];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;P;Sheldon;tbbt_s09e22_d78971;9;20;no;no
scenery;tbbt;3;18107;Penny puts her head down on her hand at the restaurant table.;tbbt_s04e01;[999.57, 1001.48];tbbt;wymaga_osoby,wymaga_scenerii,wymaga_ruchu;P;Penny;tbbt_s04e01_d18107;4;10;no;no
scenery;tbbt;3;79972;Bert pounds his left fist on the dashboard of a car.;tbbt_s07e13;[1205.77, 1209.45];tbbt;wymaga_scenerii,wymaga_ruchu;P;;tbbt_s07e13_d79972;6;11;no;no
scenery;tbbt;3;9220001;A shot of Howard touching a spinning contraption at the office with a workbench cluttered with tools and electronic parts.;tbbt_s09e22;[206.24, 207.99];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;P;Howard;tbbt_s09e22_001;4;5;no;no
scenery;tbbt;3;5090003;The bird flies into the apartment through the open window.;tbbt_s05e09;[686.5, 687.75];tbbt;wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;P;;tbbt_s05e09_003;27;28;no;no
scenery;tbbt;3;47852;Enthusiastic Sheldon, in a shirt with a colorful chevron pattern, points to the giant whiteboard behind him that he has set up in the apartment.;tbbt_s02e13;[712.46, 717.2];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu,wymaga_mimiki;P;Sheldon;tbbt_s02e13_d47852;5;5;no;no
scenery;tbbt;3;33245;A shot of a stressed Sheldon looking up at the climbing wall from below.;tbbt_s02e13;[882.54, 886.08];tbbt;wymaga_osoby,wymaga_scenerii,wymaga_mimiki;P;Sheldon;tbbt_s02e13_d33245;6;6;no;no
scenery;office;3;1050015;Angela looks for something, moving stuff on the shelf in the office.;office_s01e05;[628.07, 633.19];office;wymaga_scenerii,wymaga_ruchu;P;;office_s01e05_015;27;1;no;yes
scenery;office;3;6050029;A close-up of Kevin looking down, anxious and nervous, mouth slack, blinds visible behind him.;office_s06e05;[627.7, 635.12];office;wymaga_osoby,wymaga_scenerii,wymaga_mimiki;P;Kevin;office_s06e05_029;1633;788;no;no
scenery;office;3;7230032;Dwight walks out of the bathroom holding a large glass aquarium.;office_s07e23;[934.17, 941.5];office;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;P;Dwight;office_s07e23_032;3;1;yes;yes
scenery;office;3;8240009;Darryl, at his office desk, drinks from a pink can with a disgusted expression.;office_s08e24;[190.64, 197.98];office;wymaga_obiektu,wymaga_scenerii,wymaga_ruchu,wymaga_mimiki;P;;office_s08e24_009;3;1;yes;yes
scenery;office;3;2100025;Kevin stands in a small foot spa tub in the office.;office_s02e10;[902.11, 904.04];office;wymaga_osoby,wymaga_obiektu,wymaga_scenerii;P;Kevin;office_s02e10_025;754;63;no;no
scenery;office;3;4090003;A wide shot of a cozy living room with a lit lamp, framed photos, a couch and a large potted plant by the window at night.;office_s04e09;[186.87, 188.75];office;wymaga_scenerii;P;;office_s04e09_003;116;2;no;yes
scenery;office;3;2060002;Dwight answers the phone at his desk in the bathroom.;office_s02e06;[63.93, 70.52];office;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;P;Dwight;office_s02e06_002;2;1;yes;yes
scenery;office;3;2100024;A colorful disco light ball sits on a stereo system in an office decorated for Christmas.;office_s02e10;[897.8, 903.04];office;wymaga_obiektu,wymaga_scenerii;P;;office_s02e10_024;2;1;yes;yes
scenery;office;3;3050020;A wide shot of a dusty barn filled with straw and scattered farm equipment.;office_s03e05;[609.36, 614.98];office;wymaga_scenerii;P;;office_s03e05_020;2;1;yes;yes
scenery;office;3;9140004;A shot of Creed at his desk, holding a colorful kite up to a fan in the office.;office_s09e14;[81.11, 84.56];office;wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;P;;office_s09e14_004;15;1;no;yes
