stem;dataset;top;desc_id;desc;vid_name;ts;source;requirements;complexity;identities;event_id;rank_base;rank_variant;correct_in_top_base;correct_in_top_variant
motion;tbbt;3;80586;Sheldon, in plaid pants, opens two bottles on the kitchen island.;tbbt_s01e01;[769.58, 782.94];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;P;Sheldon;tbbt_s01e01_d80586;29;55;no;no
motion;tbbt;3;39257;A shot of Sheldon walking up the stairs with a large orange paint mark on the back of his paintball suit.;tbbt_s01e06;[36.7, 46.38];tbbt;wymaga_osoby,wymaga_scenerii,wymaga_ruchu;P;Sheldon;tbbt_s01e06_d39257;1;1;yes;yes
motion;tbbt;3;37859;Upset Leonard, in a thick puffer jacket, takes champagne from the ice bucket in the hotel room.;tbbt_s03e15;[1243.39, 1246.36];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu,wymaga_mimiki;P;Leonard;tbbt_s03e15_d37859;1;1;yes;yes
motion;tbbt;3;84031;Sheldon takes two can koozies from a paper bag, while sitting at the canteen.;tbbt_s04e12;[743.44, 753.64];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;P;Sheldon;tbbt_s04e12_d84031;1;1;yes;yes
motion;tbbt;3;30155;Amy, in a brown sweater and pink shirt, opens her mouth in surprise while standing near the kitchen.;tbbt_s06e07;[188.7, 190.59];tbbt;wymaga_scenerii,wymaga_ruchu,wymaga_mimiki;P;;tbbt_s06e07_d30155;1;1;yes;yes
motion;tbbt;3;80617;Penny, in a blue shirt, walks over to a whiteboard with equations on it.;tbbt_s01e01;[394.21, 399.78];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;P;Penny;tbbt_s01e01_d80617;2;2;yes;yes
motion;tbbt;3;38095;Leonard, with a happy smile, in a Flash costume, answers the door.;tbbt_s01e06;[172.48, 183.42];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu,wymaga_mimiki;P;Leonard;tbbt_s01e06_d38095;2;2;yes;yes
motion;tbbt;3;38099;Raj jumps into the apartment wearing a Flash costume.;tbbt_s01e06;[194.81, 196.98];tbbt;wymaga_osoby,wymaga_scenerii,wymaga_ruchu;P;Raj;tbbt_s01e06_d38099;2;2;yes;yes
motion;tbbt;3;28227;Penny, in a pink shirt, pours laundry detergent into the washing machine.;tbbt_s02e01;[302.31, 307.02];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;P;Penny;tbbt_s02e01_d28227;2;2;yes;yes
motion;tbbt;3;53266;Sheldon folds up the cardboard version of Spock.;tbbt_s05e13;[1197.68, 1200.8];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;P;Sheldon;tbbt_s05e13_d53266;2;2;yes;yes
motion;tbbt;3;3381;Amy angrily closes the restaurant menu while sitting at the table.;tbbt_s06e01;[562.31, 565.06];tbbt;wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;P;;tbbt_s06e01_d3381;2;2;yes;yes
motion;tbbt;3;6010004;A wide shot of the International Space Station orbiting above the curve of the Earth.;tbbt_s06e01;[796.48, 803.81];tbbt;wymaga_scenerii,wymaga_ruchu;P;;tbbt_s06e01_004;2;2;yes;yes
motion;tbbt;3;45200;Stuart holds up a Chewbacca mug above the cash register.;tbbt_s06e01;[1075.11, 1080.96];tbbt;wymaga_obiektu,wymaga_ruchu;P;;tbbt_s06e01_d45200;2;2;yes;yes
motion;tbbt;3;56244;Sheldon, in a blue Superman shirt, slams a comic book down on the table.;tbbt_s08e04;[286.37, 288.08];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;P;Sheldon;tbbt_s08e04_d56244;2;2;yes;yes
motion;tbbt;3;53119;Sheldon, with a red nose, walks out of the room with a tissue in his hand.;tbbt_s03e15;[1140.32, 1145.12];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;P;Sheldon;tbbt_s03e15_d53119;3;3;yes;yes
motion;tbbt;3;18107;Penny puts her head down on her hand at the restaurant table.;tbbt_s04e01;[999.57, 1001.48];tbbt;wymaga_osoby,wymaga_scenerii,wymaga_ruchu;P;Penny;tbbt_s04e01_d18107;4;4;no;no
motion;tbbt;3;9220001;A shot of Howard touching a spinning contraption at the office with a workbench cluttered with tools and electronic parts.;tbbt_s09e22;[206.24, 207.99];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;P;Howard;tbbt_s09e22_001;4;4;no;no
motion;tbbt;3;47852;Enthusiastic Sheldon, in a shirt with a colorful chevron pattern, points to the giant whiteboard behind him that he has set up in the apartment.;tbbt_s02e13;[712.46, 717.2];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu,wymaga_mimiki;P;Sheldon;tbbt_s02e13_d47852;5;5;no;no
motion;tbbt;3;29619;Howard, in maroon pajamas, lies down on the blue air mattress.;tbbt_s02e01;[1013.02, 1022.32];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;P;Howard;tbbt_s02e01_d29619;6;6;no;no
motion;tbbt;3;53115;Leonard is outside the bathroom door and massages his belly with a pained face.;tbbt_s03e15;[1100.99, 1106.14];tbbt;wymaga_osoby,wymaga_scenerii,wymaga_ruchu,wymaga_mimiki;P;Leonard;tbbt_s03e15_d53115;6;6;no;no
motion;tbbt;3;34292;Amy nods her head left and right, and then straight up, while standing behind the camera on the tripod.;tbbt_s06e07;[90.71, 92.1];tbbt;wymaga_obiektu,wymaga_ruchu;P;;tbbt_s06e07_d34292;6;6;no;no
motion;tbbt;3;79972;Bert pounds his left fist on the dashboard of a car.;tbbt_s07e13;[1205.77, 1209.45];tbbt;wymaga_scenerii,wymaga_ruchu;P;;tbbt_s07e13_d79972;6;6;no;no
motion;tbbt;3;38401;Howard walks into the living room carrying two juice boxes with straws.;tbbt_s01e01;[1043.78, 1047.4];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;P;Howard;tbbt_s01e01_d38401;7;7;no;no
motion;tbbt;3;66200;Penny, while sitting in a green armchair, puts her hands up to the sides of her face.;tbbt_s05e13;[251.1, 253.77];tbbt;wymaga_osoby,wymaga_ruchu;P;Penny;tbbt_s05e13_d66200;7;7;no;no
motion;tbbt;3;77720;Sheldon, in a blue shirt with orange sleeves, slams down his drink as he sits at the cafeteria table.;tbbt_s02e13;[61.63, 68.44];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;P;Sheldon;tbbt_s02e13_d77720;8;8;no;no
