stem;dataset;top;desc_id;desc;vid_name;ts;source;requirements;complexity;identities;event_id;rank_base;rank_variant;correct_in_top_base;correct_in_top_variant
complex;tbbt;4;28797;Howard puts on his shoes, then turns, scared, to Sheldon, who sprays his shoes.;tbbt_s03e19;[405.83, 409.71];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu,wymaga_mimiki;Z;Howard,Sheldon;tbbt_s03e19_d28797;313;1;no;yes
complex;tbbt;4;74101;Sheldon, in a mint green shirt, with a black bag on his shoulder, enters the room where Leonard is standing at the fridge.;tbbt_s02e01;[796.17, 799.38];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;Z;Sheldon,Leonard;tbbt_s02e01_d74101;102;1;no;yes
complex;tbbt;4;292;Amy opens the door wider where Sheldon stands and the bird hops onto the back of the sofa.;tbbt_s05e09;[791.01, 793.75];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;Z;Sheldon;tbbt_s05e09_d292;74;1;no;yes
complex;tbbt;4;96740;Sheldon, in a yellow shirt with grey sleeves, knocks on Penny's door repeatedly.;tbbt_s04e01;[408.85, 414.4];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;Z;Sheldon,Penny;tbbt_s04e01_d96740;1767;308;no;no
complex;tbbt;4;58115;Penny, in a suit and pink shirt, walks into Emily's office carrying a briefcase and coffees.;tbbt_s08e04;[360.66, 365.53];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;Z;Penny;tbbt_s08e04_d58115;1703;412;no;no
complex;tbbt;4;40030;Leonard and Penny are walking up some stairs and Leonard is talking to Penny while she is eating ice cream.;tbbt_s02e01;[0.0, 10.91];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;Z;Leonard,Penny;tbbt_s02e01_d40030;4;1;yes;yes
complex;tbbt;4;90956;Howard, in maroon pajamas, answers the door and Raj leaves Sheldon at the doorway and leaves quickly.;tbbt_s02e01;[948.59, 955.08];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;Z;Howard,Raj,Sheldon;tbbt_s02e01_d90956;4;1;yes;yes
complex;tbbt;4;19960;Raj raises his beer and then takes a sip of it, at the bowling lane.;tbbt_s03e19;[561.6, 565.56];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;Z;Raj;tbbt_s03e19_d19960;4;1;yes;yes
complex;tbbt;4;13987;The robotic hand drops the small package into Penny's hand, which she holds out expectantly.;tbbt_s04e01;[109.2, 118.28];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;Z;Penny;tbbt_s04e01_d13987;4;1;yes;yes
complex;tbbt;4;68597;Sheldon caps his marker and places it by one of the many whiteboards in the living room.;tbbt_s04e12;[597.68, 604.86];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;Z;Sheldon;tbbt_s04e12_d68597;4;1;yes;yes
complex;tbbt;4;42302;Leonard takes off his grey blazer with an angry face and walks out of the room.;tbbt_s05e09;[224.45, 228.26];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu,wymaga_mimiki;Z;Leonard;tbbt_s05e09_d42302;4;1;yes;yes
complex;tbbt;4;62847;Leonard, at a house party, pours a shot from a shaker and hands it to Bernadette.;tbbt_s06e24;[815.58, 820.4];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;Z;Leonard;tbbt_s06e24_d62847;852;19;no;no
complex;tbbt;4;70619;Sheldon removes the breakfast tray from Leonard's bed and walks out of the room.;tbbt_s03e15;[737.11, 740.25];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;Z;Sheldon,Leonard;tbbt_s03e15_d70619;3;1;yes;yes
complex;tbbt;4;53286;Leonard, in a red robe, looks at the ground and blinks a couple of times, then takes the money from Sheldon's hand.;tbbt_s05e13;[958.15, 964.29];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;Z;Leonard,Sheldon;tbbt_s05e13_d53286;3;1;yes;yes
