stem;dataset;top;desc_id;desc;vid_name;ts;source;requirements;complexity;identities;event_id;rank_base;rank_variant;correct_in_top_base;correct_in_top_variant
person;tbbt;3;82971;Leonard, in a yellow hoodie and purple jacket, starts slicing the cheese with a knife.;tbbt_s03e15;[318.39, 323.49];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;P;Leonard;tbbt_s03e15_d82971;538;296;no;no
person;tbbt;3;13284;Sheldon, in a green shirt with a tie, hits a fork against his glass of milk as a toast.;tbbt_s06e24;[874.09, 879.7];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;P;Sheldon;tbbt_s06e24_d13284;266;156;no;no
person;tbbt;3;45206;Raj places the cup he was holding on the counter.;tbbt_s06e01;[1152.09, 1157.78];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;P;Raj;tbbt_s06e01_d45206;315;219;no;no
person;tbbt;3;53119;Sheldon, with a red nose, walks out of the room with a tissue in his hand.;tbbt_s03e15;[1140.32, 1145.12];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;P;Sheldon;tbbt_s03e15_d53119;3;2;yes;yes
person;tbbt;3;74099;Sheldon, in a mint green shirt, walks towards the grey couch with a drink in his hand.;tbbt_s02e01;[867.2, 873.4];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;P;Sheldon;tbbt_s02e01_d74099;103;55;no;no
person;tbbt;3;38397;Leonard shakes the doors to the apartment building with both hands.;tbbt_s01e01;[1097.01, 1102.07];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;P;Leonard;tbbt_s01e01_d38397;95;58;no;no
person;tbbt;3;47822;Sheldon, in a brown shirt with blue sleeves, takes the cap off the red marker he is holding.;tbbt_s02e13;[518.61, 521.96];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;P;Sheldon;tbbt_s02e13_d47822;191;163;no;no
person;tbbt;3;42301;Sheldon, standing in front of a bookcase, near the window with drapes, dials a number on his cell phone.;tbbt_s05e09;[228.26, 230.31];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;P;Sheldon;tbbt_s05e09_d42301;36;16;no;no
person;tbbt;3;19962;Penny licks her fingers, at the bowling lane.;tbbt_s03e19;[571.85, 575.87];tbbt;wymaga_osoby,wymaga_scenerii,wymaga_ruchu;P;Penny;tbbt_s03e19_d19962;49;34;no;no
person;tbbt;3;80586;Sheldon, in plaid pants, opens two bottles on the kitchen island.;tbbt_s01e01;[769.58, 782.94];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;P;Sheldon;tbbt_s01e01_d80586;29;16;no;no
person;tbbt;3;78581;Howard is struggling to take a black bowling ball from the tray.;tbbt_s03e19;[986.67, 990.88];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;P;Howard;tbbt_s03e19_d78581;31;18;no;no
person;tbbt;3;53115;Leonard is outside the bathroom door and massages his belly with a pained face.;tbbt_s03e15;[1100.99, 1106.14];tbbt;wymaga_osoby,wymaga_scenerii,wymaga_ruchu,wymaga_mimiki;P;Leonard;tbbt_s03e15_d53115;6;3;no;yes
person;tbbt;3;53186;Happy Sheldon, in a purple shirt, puts food from a frying pan down onto a plate.;tbbt_s03e15;[943.48, 946.9];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu,wymaga_mimiki;P;Sheldon;tbbt_s03e15_d53186;40;31;no;no
person;tbbt;3;9220001;A shot of Howard touching a spinning contraption at the office with a workbench cluttered with tools and electronic parts.;tbbt_s09e22;[206.24, 207.99];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;P;Howard;tbbt_s09e22_001;4;3;no;yes
person;tbbt;3;38401;Howard walks into the living room carrying two juice boxes with straws.;tbbt_s01e01;[1043.78, 1047.4];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;P;Howard;tbbt_s01e01_d38401;7;5;no;no
person;tbbt;3;77720;Sheldon, in a blue shirt with orange sleeves, slams down his drink as he sits at the cafeteria table.;tbbt_s02e13;[61.63, 68.44];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu;P;Sheldon;tbbt_s02e13_d77720;8;6;no;no
person;tbbt;3;83998;Leonard, in a red robe, pours himself a cup of coffee into a brown mug.;tbbt_s04e12;[636.18, 649.59];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;P;Leonard;tbbt_s04e12_d83998;8;6;no;no
person;tbbt;3;3372;Penny wipes the cream off the spatula with a tissue.;tbbt_s06e01;[192.62, 197.16];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;P;Penny;tbbt_s06e01_d3372;21;19;no;no
person;tbbt;3;66200;Penny, while sitting in a green armchair, puts her hands up to the sides of her face.;tbbt_s05e13;[251.1, 253.77];tbbt;wymaga_osoby,wymaga_ruchu;P;Penny;tbbt_s05e13_d66200;7;6;no;no
person;tbbt;3;62366;Sheldon holds up two beanies by his head.;tbbt_s03e15;[228.04, 235.45];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu;P;Sheldon;tbbt_s03e15_d62366;8;7;no;no
person;tbbt;3;38099;Raj jumps into the apartment wearing a Flash costume.;tbbt_s01e06;[194.81, 196.98];tbbt;wymaga_osoby,wymaga_scenerii,wymaga_ruchu;P;Raj;tbbt_s01e06_d38099;2;334;yes;no
person;tbbt;3;56526;Sheldon lies on his bed in a white shirt and suit pants, looking at his phone in silence.;tbbt_s08e08;[842.81, 844.94];tbbt;wymaga_osoby,wymaga_obiektu;P;Sheldon;tbbt_s08e08_d56526;35;526;no;no
person;tbbt;3;39257;A shot of Sheldon walking up the stairs with a large orange paint mark on the back of his paintball suit.;tbbt_s01e06;[36.7, 46.38];tbbt;wymaga_osoby,wymaga_scenerii,wymaga_ruchu;P;Sheldon;tbbt_s01e06_d39257;1;1;yes;yes
