vocabulary;source;desc_id;text;phrase;matched_class;confidence
actions_kinetics400;vatex;UiNXZNFtaoY_000000_000010;A young boy is outside playing kickball with a football;play kickball;playing kickball;1.000000
actions_kinetics400;vatex;AWjfCxman6A_000183_000193;A lady plays the harp with both hands in a park and another man plays the saxophones.;play harp;playing harp;1.000000
actions_kinetics400;vatex;zBAlfMzjxI8_000031_000041;A person is outside using the snow blower to clear the driveway.;use blower;using computer;0.653572
actions_kinetics400;vatex;leVVgTOdE2E_000035_000045;Someone shoots their paintball gun, then hides behind a barrier, then emerges and shoots again.;shoot gun;shooting basketball;0.727076
actions_kinetics400;vatex;r0v3I6yO5h4_000033_000043;A male is in the water near show and is kiteboarding with a parashute attached to his him while he is surfing.;kiteboarde;kitesurfing;0.957093
actions_kinetics400;vatex;4KvfVRVvubA_000093_000103;A woman is using plastic gloves to dye her hair.;dye hair;dying hair;0.883621
actions_kinetics400;vatex;_isuVU33F7U_000000_000010;A woman closed her eyes to sneeze  and then smiled;close eye;crying;0.686138
actions_kinetics400;vatex;WYl-lotP_tQ_000070_000080;A woman is washing a mans hair over a bath tub and talking to a young boy.;wash hair;washing hair;1.000000
actions_kinetics400;vatex;sB8zIRhUvGQ_000077_000087;A girl describing a scrapbook page of a trip she took.;describe page;answering questions;0.534390
actions_kinetics400;vatex;XbKpNNxdbRI_000028_000038;Two couples wave as they ride camels and bells jingle.;ride camel;riding camel;1.000000
actions_kinetics400;vatex;_2y7RQ5ZDcA_000146_000156;A women kisses he child before they jump into a pool at swim meet;kiss;kissing;1.000000
actions_kinetics400;vatex;qC9KGT7Fms4_001033_001043;A man is showing a set drawers that are being built and he pulls one open.;show drawer;setting table;0.497629
actions_kinetics400;vatex;1ZrSOieC4mA_000020_000030;A group of young women playing a indoor sport that involves throwing a ball to one another.;throw ball;throwing ball;1.000000
actions_kinetics400;vatex;-k25wqPbiC8_000000_000010;A girl is showing how she is putting her eyebrows on with a eyebrow pencil then applying eye shadow.;apply shadow;applying cream;0.672095
actions_kinetics400;vatex;ubihjlgB_Yg_000028_000038;The lady opens the drawer to get a knife and starts to make a sandwich.;make sandwich;making a sandwich;0.969816
actions_kinetics400;vatex;3KtJHCvxJ7k_000012_000022;A young woman is holding two colorful birds and talking when one of the birds flies toward another young woman.;talk;singing;0.718196
actions_kinetics400;vatex;YYMKSkbEhS4_000056_000066;A man is cleaning gutters with gloved hands and a water hose while a voice speaks about his crew cleaning frozen gutters.;clean gutter;cleaning gutters;0.958193
actions_kinetics400;vatex;KiYeYz6ZXJE_000022_000032;A man is cleaning a pool, and a advertisement is visible.;clean pool;cleaning pool;1.000000
actions_kinetics400;vatex;BojWkmiTQws_000020_000030;A person uses their fingers and a knife to open a shellfish then removes something from the middle and places it on a towel.;use finger;using computer;0.709825
actions_kinetics400;vatex;uHR8pakSKkI_000055_000065;A person is showing kids how to dribble a basketball in a gym.;dribble basketball;dribbling basketball;1.000000
actions_kinetics400;vatex;4147uiLKczU_000001_000011;A toddler stands on a porch and lifts a watering can and walks to a flower bed to water the plants.;water plant;watering plants;0.933897
actions_kinetics400;vatex;tQPFjC4vqRU_000003_000013;A man kicks a football successfully across a lengthy lawn to his waiting friend standing on a house deck.;wait;crying;0.745139
actions_kinetics400;vatex;vM96wKll2h4_000007_000017;A person is trying to sweep a floor when a cat jumps on the broom and starts spinning on the broom brush.;sweep floor;sweeping floor;1.000000
actions_kinetics400;vatex;8EV2thGZ9zU_000026_000036;A little girl eats a strawberry as a candle burns on a piece of cake in front of her before she blows out the candles.;blow candle;blowing out candles;0.902146
actions_kinetics400;vatex;qxyVUUJ-tnk_000074_000084;A person demonstrates how to fry sausage by rolling it back and forth in a black skillet.;fry sausage;cooking sausages;0.850487
actions_kinetics400;vatex;XoCvj2IbVGE_000052_000062;A man is standing in an empty room using some sort of advanced ironing machine to iron a shirt.;iron;ironing;1.000000
actions_kinetics400;vatex;tPy3CQxfMZo_000176_000186;An artist is seen displaying and unfolding a dried dyed cloth on the table.;display;writing;0.603623
actions_kinetics400;vatex;RLsCOVZdpjQ_000186_000196;A fully geared man spraypainting a metalic cylinder in a sped up video with music in the background.;spraypainte cylinder;spray painting;0.757072
actions_kinetics400;vatex;SPpAYb23YGE_000000_000010;A woman lying down is petting a dog and a kid is hitting it with his hands.;pet dog;petting cat;0.861121
actions_kinetics400;vatex;zFfgHQGX5D8_000006_000016;A person was playing an accordion strapped to his chest;play accordion;playing accordion;1.000000
actions_kinetics400;vatex;gm5eN2P2dAI_000012_000022;A man is trying to push a vehicle that has gotten stuck in the snow.;push vehicle;pushing car;0.886458
actions_kinetics400;vatex;Ue4CkZYybJ8_000154_000164;A male is surfing in the ocean and having difficulties with the wind.;surf;surfing water;0.870538
actions_kinetics400;vatex;MhIBVCse204_000095_000105;a man using a knife is cutting a pumpkin in a vineyard while giving exolanation;cut pumpkin;carving pumpkin;0.870310
actions_kinetics400;vatex;91y8_PtuCzw_000004_000014;A guy is in the kitchen talking and then picks up a prepared hotdog and taqkes a bite.;taqke bite;gargling;0.604714
actions_kinetics400;vatex;OWeIxQdtVno_000045_000055;People practice playing a game of beer pong and throw ping pong balls into plastic cups.;play game;playing controller;0.758446
actions_kinetics400;vatex;1EU8X8UzdU4_000017_000027;A person is playing a slow song on a guitar.;play song;playing guitar;0.816623
actions_kinetics400;vatex;Dp-8QZE3jyA_000000_000010;A young boy tries to mop the floor but he seems to be too little.;mop floor;mopping floor;1.000000
actions_kinetics400;vatex;M_6oQOAMe0s_000142_000152;A woman plays the flute while standing in front of a living room fireplace.;play flute;playing flute;1.000000
actions_kinetics400;vatex;PNilatJe7p8_000002_000012;A time lapse shows a man grilling burgers and another man mowing the lawn;mow lawn;mowing lawn;1.000000
actions_kinetics400;vatex;SkQ7p7FJxpk_000042_000052;A boy is playing chess with the cats head sticking out of his sweter;play chess;playing chess;1.000000
actions_kinetics400;vatex;TXsSJQeNfO0_000006_000016;A group of people are playing in the field by catching and trowing a softball.;catch;writing;0.639024
actions_kinetics400;vatex;WBydpE42YTc_000012_000022;A child is blowing up a balloon with their mouth and then they let it go.;blow balloon;balloon blowing;0.937633
actions_kinetics400;vatex;QhWJ4lNowjU_000253_000263;A man is demonstrating how to cook a dish while browning the product.;brown product;archery;0.488819
actions_kinetics400;vatex;y-bo1WgMs5I_000000_000010;A riding lawn mower appears to be reconstructed to perform in races.;reconstruct;whistling;0.616073
actions_kinetics400;vatex;yob7X675d7Q_000020_000030;A person is sanding the floor in a room, first with a small sander around the edges, then with a large stand up model for the center.;sand floor;sanding floor;1.000000
actions_kinetics400;vatex;M-rDzq76oDM_000113_000123;A woman colors and fixes her hair as a song plays.;fix hair;fixing hair;1.000000
actions_kinetics400;vatex;rDcK1QPP4as_000007_000017;A group of young boys dribble basketballs through cones while a man coaches.;coach;wrestling;0.747783
actions_kinetics400;vatex;T4gPnLla7es_000052_000062;A man is playing the electric guitar for people on the street.;play guitar;playing guitar;1.000000
