desc_id;desc;fragment;video_file;start;end;relevant
79981;Leonard grabs Penny by the arms and walks her back a few steps, while standing in the living room in front of Sheldon.;s07e13_132;tbbt_s07e13.mp4;1139.42;1151.40;no
83407;Bernadette touches a red dress that Amy is holding up as they stand in front of the blue couch.;s08e04_123;tbbt_s08e04.mp4;1042.29;1050.11;no
291;Amy and Bernadette look at a bird on the couch, then turn to Sheldon standing in the doorway with crossed arms.;s06e01_017;tbbt_s06e01.mp4;218.77;232.13;no
18709;Penny happily jumps toward Leonard on the sofa to give him a hug.;s08e08_051;tbbt_s08e08.mp4;364.91;371.04;no
9411;A shot of the laptop screen, where Amy reaches forward and presses a button that shuts the video off.;s06e24_080;tbbt_s06e24.mp4;742.87;753.00;no
6010003;Howard, in a green polo shirt and cap, pushes off from one wall to the opposite one, as he floats through the space station.;s06e01_037;tbbt_s06e01.mp4;393.42;401.15;no
291;Amy and Bernadette look at a bird on the couch, then turn to Sheldon standing in the doorway with crossed arms.;s08e04_028;tbbt_s08e04.mp4;238.53;242.88;no
80591;Leonard walks to the door, lets in Howard holding a CD and Raj, who is wearing a red hat.;s03e15_122;tbbt_s03e15.mp4;1147.03;1159.28;no
16404;Bernadette, in a blue floral dress, reaches out and holds Howard's hand to comfort him while they are eating dinner.;s04e12_010;tbbt_s04e12.mp4;109.42;121.34;no
296;Sheldon, with a bird on his arm, picks up a cup from a table near the sofa and offers it to the bird, which takes it.;s04e12_072;tbbt_s04e12.mp4;646.56;656.03;no
55040;Raj, in a red and blue track jacket, presses his palms together and taps his fingers excitedly, smiling on the couch.;s02e21_023;tbbt_s02e21.mp4;206.58;210.96;no
82961;Penny, in a red blouse, and Leonard both look down while sitting on the couch and Penny puts her hand on his shoulder.;s03e19_079;tbbt_s03e19.mp4;608.32;615.11;no
3022;Penny pulls back the shower curtain and climbs inside the shower.;s02e13_085;tbbt_s02e13.mp4;927.72;936.00;no
11690;Amy and Bernadette are sitting on Penny's bed on a pile of clothes when Penny comes out of her bathroom in a green dress.;s08e08_016;tbbt_s08e08.mp4;141.22;151.32;yes
11659;Leonard, in a black suit, comes into the apartment and slams the door, then Howard looks at his watch.;s02e01_109;tbbt_s02e01.mp4;1081.52;1087.00;no
3385;A man floats across the International Space Station behind Howard at the laptop.;s06e01_069;tbbt_s06e01.mp4;743.68;757.96;no
37856;Penny sits beside Sheldon on the couch with a bowl in her hand and covers herself with the blanket.;s03e15_040;tbbt_s03e15.mp4;293.34;307.59;no
79981;Leonard grabs Penny by the arms and walks her back a few steps, while standing in the living room in front of Sheldon.;s01e01_049;tbbt_s01e01.mp4;509.21;522.81;no
51045;Sheldon quickly drinks his whole drink while holding a red straw, then makes a happy face, at the bar.;s03e15_021;tbbt_s03e15.mp4;138.56;148.44;no
79981;Leonard grabs Penny by the arms and walks her back a few steps, while standing in the living room in front of Sheldon.;s07e13_018;tbbt_s07e13.mp4;205.31;217.38;no
29596;Sheldon, in green plaid pajamas, slumps from the headrest of the armchair down into the chair and makes a shushing gesture.;s02e01_103;tbbt_s02e01.mp4;1053.84;1056.97;no
58103;Sheldon, in a grey shirt, hands Amy, in a purple sweater next to him, food wrapped in foil.;s03e19_094;tbbt_s03e19.mp4;691.98;696.86;no
62276;Sheldon walks up and flips the light switch to turn off the lights in the laundry room.;s01e06_013;tbbt_s01e06.mp4;170.33;183.12;no
11656;Sheldon lays down some cards in a couple of places on the table while playing a card game with bored Raj and Howard.;s05e13_025;tbbt_s05e13.mp4;277.28;289.65;no
13987;The robotic hand drops the small package into Penny's hand, which she holds out expectantly.;s07e13_045;tbbt_s07e13.mp4;428.22;442.75;no
4060;A wide shot of Stuart, Howard and Bernadette sitting down together in a cozy, antique-filled living room.;s01e06_052;tbbt_s01e06.mp4;570.20;584.62;no
79007;A shot of Sheldon standing at the kitchen island in front of a row of toast, while Bernadette sits across from him.;s09e22_042;tbbt_s09e22.mp4;496.75;508.23;no
