desc_id;episode;split;desc;wymaga_osoby;wymaga_obiektu;wymaga_scenerii;wymaga_ruchu;wymaga_mimiki;complexity;identities
37765;s01e15;dev;Leonard takes a drink from the water fountain.;1;1;0;1;0;P;Leonard
37766;s01e15;dev;Howard, in a brown turtleneck, shakes the hand of the woman who stands next to Sheldon.;1;0;0;1;0;Z;Howard,Sheldon
37767;s01e15;dev;Missy puts her arm around Sheldon's shoulders.;1;0;0;1;0;Z;Missy,Sheldon
39958;s01e15;dev;Raj turns away from Penny and Missy standing at the doorway, then walks down the stairs.;1;0;1;1;0;Z;Raj,Penny,Missy
39966;s01e15;dev;Penny walks away from the doorway and Missy comes to the door to talk to Leonard.;1;0;1;1;0;Z;Penny,Missy,Leonard
39972;s01e15;dev;Howard folds the yellow sign and throws it behind him while standing in the doorway.;1;1;1;1;0;Z;Howard
39973;s01e15;dev;Howard stands up holding a large yellow sign in front of himself at the doorway.;1;1;1;1;0;P;Howard
39975;s01e15;dev;Sheldon covers his crotch with his hands as he crosses his legs.;1;0;0;1;0;Z;Sheldon
39977;s01e15;dev;Sheldon slowly walks into the living room as he cups his crotch with both hands.;1;0;1;1;0;Z;Sheldon
39985;s01e15;dev;Sheldon picks up a slice of cheese and holds it up in front of Leonard, Howard, and Raj.;1;1;0;1;0;Z;Sheldon,Leonard,Howard,Raj
39987;s01e15;dev;Missy closes the door and turns to face Sheldon.;1;1;0;1;0;Z;Missy,Sheldon
39990;s01e15;dev;Missy crosses her arms in front of her as she takes a step towards Sheldon.;1;0;0;1;0;Z;Missy,Sheldon
39991;s01e15;dev;Missy puts her hand on Sheldon's shoulder and pushes him away from her.;1;0;0;1;0;Z;Missy,Sheldon
39992;s01e15;dev;Missy puts her knee onto the bed and sits down next to Sheldon.;1;1;0;1;0;Z;Missy,Sheldon
50302;s01e15;dev;Raj, Howard and Leonard notice Sheldon is seated in his office with Missy standing next to him.;1;0;1;0;0;Z;Raj,Howard,Leonard,Sheldon,Missy
50303;s01e15;dev;Leonard and Raj take a look at the bulletin in the hallway together.;1;1;1;0;0;Z;Leonard,Raj
55960;s01e15;dev;Sheldon is going downstairs with Missy beside him.;1;0;1;1;0;Z;Sheldon,Missy
55961;s01e15;dev;Missy hugs Sheldon and he pats her back awkwardly.;1;0;0;1;0;Z;Missy,Sheldon
55962;s01e15;dev;Sheldon follows Missy as she exits the building.;1;0;1;1;0;Z;Sheldon,Missy
84985;s01e15;dev;Sheldon is putting mayo on a slice of bread while Raj drinks from a green can.;1;1;0;1;0;Z;Sheldon,Raj
84986;s01e15;dev;Howard is holding a bag of frozen peas on his neck while Leonard is scratching his forehead.;1;1;0;1;0;Z;Howard,Leonard
84989;s01e15;dev;Leonard moves Raj's hand down while he wags his hand.;1;0;0;1;0;Z;Leonard,Raj
84990;s01e15;dev;Raj and Howard are wrestling each other on the ground when Sheldon comes in.;1;0;0;1;0;Z;Raj,Howard,Sheldon
84992;s01e15;dev;Raj, in a purple sweater, is sitting at the kitchen island drinking from a green can.;1;1;1;1;0;P;Raj
