stem;dataset;top;desc_id;desc;vid_name;ts;source;requirements;complexity;identities;event_id;rank_base;rank_variant;correct_in_top_base;correct_in_top_variant
face;tbbt;3;49339;Leonard, in a pink shirt, sits on the sofa, reading a wine tasting book with a grimace.;tbbt_s09e22;[306.14, 312.54];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_mimiki;P;Leonard;tbbt_s09e22_d49339;1;146;yes;no
face;tbbt;3;30155;Amy, in a brown sweater and pink shirt, opens her mouth in surprise while standing near the kitchen.;tbbt_s06e07;[188.7, 190.59];tbbt;wymaga_scenerii,wymaga_ruchu,wymaga_mimiki;P;;tbbt_s06e07_d30155;1;19;yes;no
face;tbbt;3;53115;Leonard is outside the bathroom door and massages his belly with a pained face.;tbbt_s03e15;[1100.99, 1106.14];tbbt;wymaga_osoby,wymaga_scenerii,wymaga_ruchu,wymaga_mimiki;P;Leonard;tbbt_s03e15_d53115;6;48;no;no
face;tbbt;3;4010004;Amy's expressionless face suddenly shifts into a smug, close-lipped smile at the restaurant table.;tbbt_s04e01;[1026.68, 1027.96];tbbt;wymaga_scenerii,wymaga_ruchu,wymaga_mimiki;P;;tbbt_s04e01_004;20;77;no;no
face;tbbt;3;38095;Leonard, with a happy smile, in a Flash costume, answers the door.;tbbt_s01e06;[172.48, 183.42];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu,wymaga_mimiki;P;Leonard;tbbt_s01e06_d38095;2;10;yes;no
face;tbbt;3;28798;Sheldon, in an orange shirt, looks down with a shy, pleased smile, at the comic store.;tbbt_s03e19;[323.0, 324.86];tbbt;wymaga_osoby,wymaga_scenerii,wymaga_mimiki;P;Sheldon;tbbt_s03e19_d28798;3;12;yes;no
face;tbbt;3;37859;Upset Leonard, in a thick puffer jacket, takes champagne from the ice bucket in the hotel room.;tbbt_s03e15;[1243.39, 1246.36];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu,wymaga_mimiki;P;Leonard;tbbt_s03e15_d37859;1;1;yes;yes
face;tbbt;3;47852;Enthusiastic Sheldon, in a shirt with a colorful chevron pattern, points to the giant whiteboard behind him that he has set up in the apartment.;tbbt_s02e13;[712.46, 717.2];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_scenerii,wymaga_ruchu,wymaga_mimiki;P;Sheldon;tbbt_s02e13_d47852;5;5;no;no
face;tbbt;3;33245;A shot of a stressed Sheldon looking up at the climbing wall from below.;tbbt_s02e13;[882.54, 886.08];tbbt;wymaga_osoby,wymaga_scenerii,wymaga_mimiki;P;Sheldon;tbbt_s02e13_d33245;6;6;no;no
face;tbbt;3;53186;Happy Sheldon, in a purple shirt, puts food from a frying pan down onto a plate.;tbbt_s03e15;[943.48, 946.9];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu,wymaga_mimiki;P;Sheldon;tbbt_s03e15_d53186;40;40;no;no
face;tbbt;3;54548;Raj, in costume, smiling, raises his brown hammer.;tbbt_s01e06;[426.48, 427.99];tbbt;wymaga_osoby,wymaga_obiektu,wymaga_ruchu,wymaga_mimiki;P;Raj;tbbt_s01e06_d54548;47;47;no;no
face;tbbt;3;7737;Sheldon's eyes and mouth begin to twitch uncontrollably, while he wears a mint green shirt.;tbbt_s02e01;[596.57, 606.55];tbbt;wymaga_osoby,wymaga_ruchu,wymaga_mimiki;P;Sheldon;tbbt_s02e01_d7737;89;89;no;no
face;office;3;4090018;Pam is in a bathroom with her arms crossed, giving a worried and upset look.;office_s04e09;[505.38, 514.02];office;wymaga_osoby,wymaga_scenerii,wymaga_mimiki;P;Pam;office_s04e09_018;1;58;yes;no
face;office;3;7140035;Pam smiles as she sees a drawing of a printer pinned to the fridge.;office_s07e14;[485.61, 488.81];office;wymaga_osoby,wymaga_obiektu,wymaga_mimiki;P;Pam;office_s07e14_035;1;52;yes;no
face;office;3;6090015;Jim puckers his lips slightly, pressing them together, moving his head forward and down.;office_s06e09;[457.56, 458.99];office;wymaga_osoby,wymaga_ruchu,wymaga_mimiki;P;Jim;office_s06e09_015;651;1817;no;no
face;office;3;7140018;Michael is looking at a snake in a glass cage and making a disgusted face.;office_s07e14;[626.41, 631.88];office;wymaga_osoby,wymaga_obiektu,wymaga_mimiki;P;Michael;office_s07e14_018;59;734;no;no
face;office;3;2100004;Michael, with a big smile, stands next to the tree in front of the window decorated with gold and red Christmas ornaments.;office_s02e10;[42.77, 45.33];office;wymaga_osoby,wymaga_obiektu,wymaga_mimiki;P;Michael;office_s02e10_004;1;16;yes;no
face;office;3;6050029;A close-up of Kevin looking down, anxious and nervous, mouth slack, blinds visible behind him.;office_s06e05;[627.7, 635.12];office;wymaga_osoby,wymaga_scenerii,wymaga_mimiki;P;Kevin;office_s06e05_029;1633;2104;no;no
face;office;3;9020028;Dwight stretches his interlocked hands out in front of the break room vending machines, stern and determined.;office_s09e02;[1117.56, 1119.05];office;wymaga_osoby,wymaga_scenerii,wymaga_ruchu,wymaga_mimiki;P;Dwight;office_s09e02_028;3;69;yes;no
face;office;3;2100015;Phyllis in a floral shirt and cream sweater vest with a poinsettia smiles.;office_s02e10;[514.05, 519.14];office;wymaga_mimiki;P;;office_s02e10_015;1;5;yes;no
face;office;3;5170028;A close-up profile shot of Michael pinching the bridge of his nose, eyes closed, against a wood-paneled wall.;office_s05e17;[508.91, 510.9];office;wymaga_osoby,wymaga_scenerii,wymaga_mimiki;P;Michael;office_s05e17_028;1;5;yes;no
face;office;3;8240009;Darryl, at his office desk, drinks from a pink can with a disgusted expression.;office_s08e24;[190.64, 197.98];office;wymaga_obiektu,wymaga_scenerii,wymaga_ruchu,wymaga_mimiki;P;;office_s08e24_009;3;40;yes;no
face;office;3;7230020;A shot of excited Dwight sitting at a desk, surrounded by samurai armor, a sword, and a display case with a revolver.;office_s07e23;[423.38, 438.08];office;wymaga_osoby,wymaga_obiektu,wymaga_mimiki;P;Dwight;office_s07e23_020;2;20;yes;no
face;office;3;3190026;Ryan smiles and scoops cash off his desk.;office_s03e19;[711.08, 712.71];office;wymaga_obiektu,wymaga_ruchu,wymaga_mimiki;P;;office_s03e19_026;6;62;no;no
face;office;3;5030010;Michael lifts a baby carrier, holding it close to his chest with a serious expression.;office_s05e03;[526.81, 539.1];office;wymaga_osoby,wymaga_obiektu,wymaga_ruchu,wymaga_mimiki;P;Michael;office_s05e03_010;14;66;no;no
face;office;3;1020018;Michael laughs while holding a yellow paper in his hand.;office_s01e02;[639.94, 641.77];office;wymaga_osoby,wymaga_obiektu,wymaga_mimiki;P;Michael;office_s01e02_018;2;12;yes;no
face;office;3;7140009;Pam talks on the phone, smiling flirtatiously, tongue slightly poking out, eyebrows raised.;office_s07e14;[390.87, 395.01];office;wymaga_osoby,wymaga_obiektu,wymaga_mimiki;P;Pam;office_s07e14_009;16;63;no;no
face;office;3;2100016;Michael in a Santa hat looks alarmed as he holds up his hand wearing a pink oven mitt.;office_s02e10;[519.49, 521.89];office;wymaga_osoby,wymaga_obiektu,wymaga_ruchu,wymaga_mimiki;P;Michael;office_s02e10_016;9;44;no;no
face;office;3;2100007;Jim holds up an old black-and-white photo, smiling.;office_s02e10;[126.78, 134.99];office;wymaga_osoby,wymaga_obiektu,wymaga_ruchu,wymaga_mimiki;P;Jim;office_s02e10_007;15;51;no;no
face;office;3;3050014;Stanley stands in a long line laughing joyfully.;office_s03e05;[390.46, 397.52];office;wymaga_mimiki;P;;office_s03e05_014;3;16;yes;no
face;office;3;6090004;Pam, in a suit, looks secretly pleased, glancing sideways, a pink mug held in both hands.;office_s06e09;[83.98, 85.39];office;wymaga_osoby,wymaga_obiektu,wymaga_mimiki;P;Pam;office_s06e09_004;6;25;no;no
face;office;3;3190021;Stanley stares in shock at a car covered in smashed watermelon.;office_s03e19;[1233.75, 1238.21];office;wymaga_obiektu,wymaga_mimiki;P;;office_s03e19_021;4;11;no;no
face;office;3;5170021;Dwight claps happily, laughing widely with cheeks puffed at the reception desk.;office_s05e17;[32.36, 34.84];office;wymaga_osoby,wymaga_ruchu,wymaga_mimiki;P;Dwight;office_s05e17_021;26;37;no;no
face;office;3;1050004;Worried Dwight plays with the toy that he picked up from the desk.;office_s01e05;[143.62, 146.64];office;wymaga_osoby,wymaga_obiektu,wymaga_ruchu,wymaga_mimiki;P;Dwight;office_s01e05_004;19;26;no;no
face;office;3;4090001;Dwight cries, covering his eyes with his hand, sitting near an office window.;office_s04e09;[109.38, 112.6];office;wymaga_osoby,wymaga_scenerii,wymaga_mimiki;P;Dwight;office_s04e09_001;4;7;no;no
face;office;3;5170011;Michael, in a top hat and tuxedo, looks shocked, mouth open, eyes wide with disbelief.;office_s05e17;[343.05, 346.32];office;wymaga_osoby,wymaga_mimiki;P;Michael;office_s05e17_011;13;17;no;no
face;office;3;6090018;Michael opens his mouth and eyes wide in joyful shock, holding a music player.;office_s06e09;[477.48, 480.04];office;wymaga_osoby,wymaga_obiektu,wymaga_ruchu,wymaga_mimiki;P;Michael;office_s06e09_018;1473;601;no;no
face;office;3;1020010;A bored Pam behind the counter rests her head on her hand.;office_s01e02;[236.46, 238.91];office;wymaga_osoby,wymaga_mimiki;P;Pam;office_s01e02_010;786;319;no;no
face;office;3;2100035;Angela smashes Christmas ornaments in anger outside in the falling snow.;office_s02e10;[1211.56, 1219.42];office;wymaga_obiektu,wymaga_scenerii,wymaga_ruchu,wymaga_mimiki;P;;office_s02e10_035;1;1;yes;yes
face;office;3;8240010;Andy walks into the office wearing gray coveralls, looking down with a defeated expression.;office_s08e24;[234.1, 241.92];office;wymaga_scenerii,wymaga_ruchu,wymaga_mimiki;P;;office_s08e24_010;1;1;yes;yes
face;office;3;7230005;Dwight sits at his desk, seen through blinds, mouth wide open in shock, both hands resting on the desk.;office_s07e23;[93.89, 97.75];office;wymaga_osoby,wymaga_mimiki;P;Dwight;office_s07e23_005;132;11;no;no
face;office;3;2100018;Angela in a sweater with a Santa pin cries.;office_s02e10;[590.61, 595.6];office;wymaga_mimiki;P;;office_s02e10_018;4;1;no;yes
