vocabulary;desc_id;phrase;matched_class;correct
actions_kinetics400;UiNXZNFtaoY_000000_000010;play kickball;playing kickball;yes
actions_kinetics400;AWjfCxman6A_000183_000193;play harp;playing harp;yes
actions_kinetics400;zBAlfMzjxI8_000031_000041;use blower;using computer;no
actions_kinetics400;leVVgTOdE2E_000035_000045;shoot gun;shooting basketball;no
actions_kinetics400;r0v3I6yO5h4_000033_000043;kiteboarde;kitesurfing;yes
actions_kinetics400;4KvfVRVvubA_000093_000103;dye hair;dying hair;yes
actions_kinetics400;_isuVU33F7U_000000_000010;close eye;crying;no
actions_kinetics400;WYl-lotP_tQ_000070_000080;wash hair;washing hair;yes
actions_kinetics400;sB8zIRhUvGQ_000077_000087;describe page;answering questions;no
actions_kinetics400;XbKpNNxdbRI_000028_000038;ride camel;riding camel;yes
actions_kinetics400;_2y7RQ5ZDcA_000146_000156;kiss;kissing;yes
actions_kinetics400;qC9KGT7Fms4_001033_001043;show drawer;setting table;no
actions_kinetics400;1ZrSOieC4mA_000020_000030;throw ball;throwing ball;yes
actions_kinetics400;-k25wqPbiC8_000000_000010;apply shadow;applying cream;no
actions_kinetics400;ubihjlgB_Yg_000028_000038;make sandwich;making a sandwich;yes
actions_kinetics400;3KtJHCvxJ7k_000012_000022;talk;singing;no
actions_kinetics400;YYMKSkbEhS4_000056_000066;clean gutter;cleaning gutters;yes
actions_kinetics400;KiYeYz6ZXJE_000022_000032;clean pool;cleaning pool;yes
actions_kinetics400;BojWkmiTQws_000020_000030;use finger;using computer;no
actions_kinetics400;uHR8pakSKkI_000055_000065;dribble basketball;dribbling basketball;yes
actions_kinetics400;4147uiLKczU_000001_000011;water plant;watering plants;yes
actions_kinetics400;tQPFjC4vqRU_000003_000013;wait;crying;no
actions_kinetics400;vM96wKll2h4_000007_000017;sweep floor;sweeping floor;yes
actions_kinetics400;8EV2thGZ9zU_000026_000036;blow candle;blowing out candles;yes
actions_kinetics400;qxyVUUJ-tnk_000074_000084;fry sausage;cooking sausages;yes
actions_kinetics400;XoCvj2IbVGE_000052_000062;iron;ironing;yes
actions_kinetics400;tPy3CQxfMZo_000176_000186;display;writing;no
actions_kinetics400;RLsCOVZdpjQ_000186_000196;spraypainte cylinder;spray painting;yes
actions_kinetics400;SPpAYb23YGE_000000_000010;pet dog;petting cat;no
actions_kinetics400;zFfgHQGX5D8_000006_000016;play accordion;playing accordion;yes
actions_kinetics400;gm5eN2P2dAI_000012_000022;push vehicle;pushing car;yes
actions_kinetics400;Ue4CkZYybJ8_000154_000164;surf;surfing water;yes
actions_kinetics400;MhIBVCse204_000095_000105;cut pumpkin;carving pumpkin;yes
actions_kinetics400;91y8_PtuCzw_000004_000014;taqke bite;gargling;no
actions_kinetics400;OWeIxQdtVno_000045_000055;play game;playing controller;no
actions_kinetics400;1EU8X8UzdU4_000017_000027;play song;playing guitar;yes
actions_kinetics400;Dp-8QZE3jyA_000000_000010;mop floor;mopping floor;yes
actions_kinetics400;M_6oQOAMe0s_000142_000152;play flute;playing flute;yes
actions_kinetics400;PNilatJe7p8_000002_000012;mow lawn;mowing lawn;yes
actions_kinetics400;SkQ7p7FJxpk_000042_000052;play chess;playing chess;yes
actions_kinetics400;TXsSJQeNfO0_000006_000016;catch;writing;no
actions_kinetics400;WBydpE42YTc_000012_000022;blow balloon;balloon blowing;yes
actions_kinetics400;QhWJ4lNowjU_000253_000263;brown product;archery;no
actions_kinetics400;y-bo1WgMs5I_000000_000010;reconstruct;whistling;no
actions_kinetics400;yob7X675d7Q_000020_000030;sand floor;sanding floor;yes
actions_kinetics400;M-rDzq76oDM_000113_000123;fix hair;fixing hair;yes
actions_kinetics400;rDcK1QPP4as_000007_000017;coach;wrestling;no
actions_kinetics400;T4gPnLla7es_000052_000062;play guitar;playing guitar;yes
actions_kinetics400;e101YmwqwqY_000002_000012;wash clothe;doing laundry;yes
actions_kinetics400;oiaw1mobx64_000022_000032;perform cheer;cheerleading;yes
actions_kinetics400;l6qhPgHHXr0_000000_000010;couple;crying;no
actions_kinetics400;WYzj1rc1awQ_000000_000010;yawn;yawning;yes
actions_kinetics400;ryWwr9sJVIw_000005_000015;play ukulele;playing ukulele;yes
actions_kinetics400;lPip5BsCdyU_000000_000010;flare;crying;no
actions_kinetics400;dU0nC_6XBVk_000004_000014;grimace;yawning;no
actions_kinetics400;8WD-GTSf6TA_000035_000045;put wall;golf putting;no
actions_kinetics400;1WEhv0Znmaw_000009_000019;rid camel;riding camel;yes
actions_kinetics400;99hi_7pt3d8_000158_000168;play trumpet;playing trumpet;yes
actions_kinetics400;fXJHiV-dkM0_000009_000019;play violin;playing violin;yes
actions_kinetics400;XoCvj2IbVGE_000052_000062;iron shirt;ironing;yes
actions_kinetics400;fVhsSFkwRJA_000000_000010;whistle;whistling;yes
actions_kinetics400;E52euaQjpGw_000003_000013;crack back;cracking neck;no
actions_kinetics400;sFUA65LyTnY_000019_000029;put ball;golf putting;yes
actions_kinetics400;N9rMLSHCRpc_000000_000010;throw snowball;throwing ball;no
actions_kinetics400;jDQ5FCaJIdg_000000_000010;wink eye;crying;no
actions_kinetics400;F6h5iBsC_rE_000021_000031;carry baby;carrying baby;yes
actions_kinetics400;FaM9bZRznFM_000016_000026;groom dog;grooming dog;yes
actions_kinetics400;M3hUyXnVsus_000000_000010;throw discus;throwing discus;yes
actions_kinetics400;KOfdoYwh0f4_000360_000370;play monopoly;playing monopoly;yes
actions_kinetics400;eYdzsRaIBT8_000002_000012;order scotch;tasting beer;no
actions_kinetics400;s2BR8dSzLq4_000033_000043;unload;unloading truck;yes
actions_kinetics400;_D07LTnhl-4_000015_000025;pump gas;pumping gas;yes
actions_kinetics400;Pi4JfWslquo_000060_000070;drive tractor;driving tractor;yes
actions_kinetics400;vz99COsaL5w_000005_000015;beat piecce;zumba;no
actions_kinetics400;_isuVU33F7U_000000_000010;sneeze;sneezing;yes
actions_kinetics400;Hg6I3C4T8cQ_000002_000012;hold foot;massaging feet;no
actions_kinetics400;ka8UTVdMgn4_000001_000011;snowboard;snowboarding;yes
actions_kinetics400;DHTYdK1VR4I_000019_000029;cringe;crying;no
actions_kinetics400;rmxOgJX5u-I_000000_000010;wax eyebrow;waxing eyebrows;yes
actions_kinetics400;avDKo2qRcZQ_000029_000039;write;writing;yes
actions_kinetics400;-gJlTcI3jRI_000000_000010;cut pineapple;cutting pineapple;yes
actions_kinetics400;gicTnDJ5y7g_000006_000016;sing;singing;yes
actions_kinetics400;CaXa9TDy4S8_000044_000054;play didgeridoo;playing didgeridoo;yes
actions_kinetics400;T4GgwfklMqk_000001_000011;shuffle deck;shuffling cards;yes
actions_kinetics400;4aUMOS4ngfo_000000_000010;hug;hugging;yes
actions_kinetics400;cZUJUE3YL0Q_000022_000032;demonstrate body;answering questions;no
actions_kinetics400;d7328HOK7mY_000269_000279;wear hat;welding;no
actions_kinetics400;kJP5CiHDj1o_000011_000021;spread cement;plastering;no
actions_kinetics400;jr3uNxx0zT4_000004_000014;swing club;swing dancing;no
actions_kinetics400;yMQMfdV-Fzs_000025_000035;pull man;pushing car;no
actions_kinetics400;VC9zmbn9vV4_000107_000117;bite towel;brushing teeth;no
actions_kinetics400;0gQxSyreT3Q_000008_000018;laugh;laughing;yes
actions_kinetics400;2088vEQsN5E_000002_000012;milk cow;milking cow;yes
actions_kinetics400;XMQAYSc2Ly8_000379_000389;carve notch;cutting nails;no
actions_kinetics400;YdrIPOtxMZE_000246_000256;make snowman;making snowman;yes
actions_kinetics400;1P1UydTdo9A_000074_000084;attach;digging;no
actions_kinetics400;umJqRnwaC_c_000000_000010;break phlegm;gargling;no
actions_kinetics400;Z5bkTJLN3nA_000104_000114;sway;whistling;no
actions_kinetics400;_csFzSIvu-M_000145_000155;clean window;cleaning windows;yes
actions_kinetics400;-oVnNlI0z1Q_000078_000088;drive car;driving car;yes
expressions_hsemotion;PNilatJe7p8_000002_000012;mow;Anger;no
expressions_hsemotion;tbbt_s04e05_d66656;laugh hysterically;Anger;no
expressions_hsemotion;office_s02e03_019;smile;Happiness;yes
expressions_hsemotion;ESW5Bsdndzw_000003_000013;laugh then;Anger;no
expressions_hsemotion;tbbt_s01e15_d96272;excitedly;Happiness;yes
expressions_hsemotion;EWwQofpm1ls_000060_000070;excited;Happiness;yes
expressions_hsemotion;office_s03e15_028;happy;Fear;no
expressions_hsemotion;umJqRnwaC_c_000000_000010;phlegm;Anger;no
expressions_hsemotion;FUAtn54mu0M_000019_000029;heavy;Sadness;no
expressions_hsemotion;dU0nC_6XBVk_000004_000014;grimace;Anger;no
expressions_hsemotion;office_s02e03_035;emotional;Sadness;yes
expressions_hsemotion;office_s08e12_048;joy;Fear;no
expressions_hsemotion;office_s09e10_028;disgusted;Disgust;yes
expressions_hsemotion;-2ckVgGKLNU_000002_000012;fancy;Surprise;no
expressions_hsemotion;tbbt_s09e12_d20166;close together;Anger;no
expressions_hsemotion;tbbt_s07e02_d71317;scared;Anger;no
expressions_hsemotion;office_s02e03_021;laugh;Anger;no
expressions_hsemotion;0ayx557xBZI_000099_000109;giggle;Surprise;no
expressions_hsemotion;office_s05e10_023;unhappy;Sadness;yes
expressions_hsemotion;lNeoOwQs450_000000_000010;fidget;Fear;no
expressions_hsemotion;tbbt_s05e20_d69471;gently;Sadness;no
expressions_hsemotion;office_s08e12_012;happy pride;Fear;no
expressions_hsemotion;Jozpg64DEh0_000002_000012;pretty;Surprise;no
expressions_hsemotion;office_s03e15_034;together;Happiness;no
expressions_hsemotion;office_s05e10_030;shocked;Anger;no
expressions_hsemotion;office_s09e10_030;frown;Anger;no
expressions_hsemotion;_isuVU33F7U_000000_000010;then smile;Happiness;yes
expressions_hsemotion;tbbt_s03e02_d73082;close;Sadness;no
expressions_hsemotion;SYRa4vIZh1g_000155_000165;protective;Fear;no
expressions_hsemotion;PLPT8wU7jTA_000000_000010;smile energetically;Happiness;yes
expressions_hsemotion;gm5eN2P2dAI_000012_000022;stuck;Sadness;no
expressions_hsemotion;office_s09e10_020;electric;Fear;no
expressions_hsemotion;1WEhv0Znmaw_000009_000019;long;Surprise;no
expressions_hsemotion;Dp-8QZE3jyA_000000_000010;mop;Sadness;no
expressions_hsemotion;Ya5z_JLEEIA_000051_000061;shocking;Surprise;no
expressions_hsemotion;O8hx7asUuPg_000216_000226;secure;Happiness;no
expressions_hsemotion;office_s02e03_009;surprised;Anger;no
expressions_hsemotion;Vpx_gnTdG6M_000011_000021;break;Fear;no
expressions_hsemotion;tbbt_s07e02_d6164;fright;Fear;yes
expressions_hsemotion;office_s07e06_027;happy shock;Fear;no
expressions_hsemotion;tbbt_s03e02_d73187;disappointed;Anger;no
expressions_hsemotion;tbbt_s03e02_d27730;tear;Fear;no
expressions_hsemotion;office_s05e10_008;smile widely;Happiness;yes
expressions_hsemotion;ILvS3LQug5k_000013_000023;calm;Fear;no
expressions_hsemotion;office_s03e15_019;shock;Fear;no
expressions_hsemotion;office_s02e03_035;cry;Anger;no
expressions_hsemotion;office_s09e10_033;angry;Anger;yes
expressions_hsemotion;office_s09e10_015;disgust;Disgust;yes
expressions_hsemotion;B7uEv2FDCPQ_000000_000010;light;Sadness;no
expressions_hsemotion;office_s09e10_008;wide smile;Happiness;yes
objects_yolo11;NOMUP4W4rWs_000007_000017;bed;bed;yes
objects_yolo11;O1VuRo34nuI_000008_000018;bicycle;bicycle;yes
objects_yolo11;F54uOdVcUBI_000063_000073;center;book;no
objects_yolo11;Gj5pk-V6c7M_000153_000163;two groups;remote;no
objects_yolo11;kFyRVECzFxc_000486_000496;boxing gloves;baseball glove;no
objects_yolo11;HM8kG41FjXg_000022_000032;scooter;motorcycle;yes
objects_yolo11;MR_Dvb-7jKU_000015_000025;wooden structure;mouse;no
objects_yolo11;4147uiLKczU_000001_000011;flower bed;bed;no
objects_yolo11;LQa0E8VlU3Q_000016_000026;ahile;kite;no
objects_yolo11;-nTtZiY1He0_000016_000026;half - eaten apple;apple;yes
objects_yolo11;JfYj5OfFe70_000089_000099;long knife;knife;yes
objects_yolo11;-1DARulHLgw_000007_000017;full situps;bench;no
objects_yolo11;EhZe4kaMXNg_000121_000131;bowl;bowl;yes
objects_yolo11;uu5CsLQuzN4_000005_000015;closest up front inserts;book;no
objects_yolo11;-q1rHTApl_I_000058_000068;bathroom;toilet;yes
objects_yolo11;C4-ZQjH2tNM_000037_000047;muscle;motorcycle;no
objects_yolo11;EQ_cfTXhA18_000045_000055;baseball gloves;baseball glove;yes
objects_yolo11;HxZTtP7Okxg_000021_000031;colorless 's book;book;yes
objects_yolo11;9cFlNjI7nNg_000014_000024;feet;bear;no
objects_yolo11;_XH_50Lp8qQ_000013_000023;trailer truck;truck;yes
objects_yolo11;tvGgWlJTaGA_000057_000067;horseback;horse;yes
objects_yolo11;MhIBVCse204_000095_000105;vineyard;wine glass;no
objects_yolo11;dyBTNP-O7dY_000000_000010;sports car;car;yes
objects_yolo11;-k25wqPbiC8_000000_000010;eyebrow pencil;remote;no
objects_yolo11;-gJlTcI3jRI_000000_000010;pineapple;giraffe;no
objects_yolo11;3KtJHCvxJ7k_000012_000022;birds;bird;yes
objects_yolo11;KOfdoYwh0f4_000360_000370;pennsylvania avenue;traffic light;no
objects_yolo11;y-bo1WgMs5I_000000_000010;riding lawn mower;remote;no
objects_yolo11;qXgS_8JWYfc_000023_000033;beans;bear;no
objects_yolo11;3KtJHCvxJ7k_000012_000022;two colorful birds;bird;yes
objects_yolo11;qxyVUUJ-tnk_000074_000084;sausage;hot dog;yes
objects_yolo11;Iq_CC6ymRzI_000136_000146;contact;remote;no
objects_yolo11;MhIBVCse204_000095_000105;pumpkin;apple;no
objects_yolo11;lwlkkdjuptg_000087_000097;watch;tie;no
objects_yolo11;XAuZy0IQyJc_000194_000204;cabinet;refrigerator;no
objects_yolo11;5hm5904Xr6A_000010_000020;snowman;snowboard;no
objects_yolo11;iBrNxLvB3XI_000000_000010;bottle;bottle;yes
objects_yolo11;1C9y9a0-jOQ_000020_000030;cow;cow;yes
objects_yolo11;ubihjlgB_Yg_000028_000038;sandwich;sandwich;yes
objects_yolo11;59AP7yEvUrA_000092_000102;keyboard;keyboard;yes
objects_yolo11;-9Rcf4Fzed8_000002_000012;nature;bear;no
objects_yolo11;BwRwhZUVjvI_000127_000137;rock , paper , scissors;scissors;no
objects_yolo11;QAwvWfn9WVc_000000_000010;""" "" hell - oooo";bench;no
objects_yolo11;PbLTZB7gye8_000011_000021;shooting range;bear;no
objects_yolo11;59AP7yEvUrA_000092_000102;mouse;mouse;yes
objects_yolo11;wxgqu30nSLE_000000_000010;pizza;pizza;yes
objects_yolo11;ZadO0c3OHtU_000035_000045;very busy area;bear;no
objects_yolo11;OWeIxQdtVno_000045_000055;plastic cups;cup;yes
objects_yolo11;6EvsxeJTD2Y_000449_000459;bees;bear;no
objects_yolo11;Dhas1rn3di4_000069_000079;path;kite;no
objects_yolo11;e101YmwqwqY_000002_000012;bin;bear;no
objects_yolo11;3KXf6mKouLc_000119_000129;mixing bowl;bowl;yes
objects_yolo11;e-RvXQJlVi4_000003_000013;horse;horse;yes
objects_yolo11;1WEhv0Znmaw_000009_000019;long white robe;cake;no
objects_yolo11;NAp7v4OHWHw_000089_000099;large snowball;sports ball;no
objects_yolo11;afRfhgiaMUg_000031_000041;building;bear;no
objects_yolo11;GjpI37k5tcw_000207_000217;stove;oven;yes
objects_yolo11;aXBKAMImppU_000056_000066;motorcycle;motorcycle;yes
objects_yolo11;V6I3BjBQwnM_000032_000042;large knife;knife;yes
objects_yolo11;NAxGdOGE2rg_000094_000104;paintng device;remote;no
objects_yolo11;-oVnNlI0z1Q_000078_000088;car;car;yes
objects_yolo11;bJYsix7xgYc_000046_000056;stands;sandwich;no
objects_yolo11;UTLyX6FsLFo_000003_000013;soccer ball;sports ball;yes
objects_yolo11;mI924LI4P-U_000000_000010;bottled beer;banana;no
objects_yolo11;IFndtAos_rM_000000_000010;hurtle;cake;no
objects_yolo11;9EioUfhATcw_000004_000014;frisbee;frisbee;yes
objects_yolo11;vb5ufNdJsuM_000066_000076;sink;sink;yes
objects_yolo11;Qax4NxHP0s4_000067_000077;broccoli;broccoli;yes
objects_yolo11;jXgvoYqblMM_000027_000037;cup;cup;yes
