desc_id;episode;split;desc;wymaga_obiektu;wymaga_scenerii;wymaga_ruchu;complexity
997112850818;--07WQ2iBlw_000001_000011;test;A boy throws nerf arrows after getting into a throwing position.;;;;
95260587477;--gEBElruic_000067_000077;test;Two people are seen as they go down a slope in their bobsled.;;;;
876888152609;--uGS0Y4D6k_000009_000019;test;A man is building something out of wood with various power tools.;;;;
616862478740;-0cIpwdV-DU_000722_000732;test;A woman smooths out a pearl necklace and places it on a headless display.;;;;
366852170730;-0qOFqf_eRk_000016_000026;test;a young girl uses her hands to clean a piece of clothes;;;;
173373801319;-15UpGVyV4w_000001_000011;test;Two adults and a child sit by a body of water with fish swimming in it, and a person walks in the background.;;;;
103098711942;-1nK1bPQYEc_000149_000159;test;A woman is in the kitchen cutting another persons hair and that person is sitting in a chair with a red cape over them.;;;;
39815241981;-2JgjPsy4Eo_000077_000087;test;A woman in costume belly dancing on stage.;;;;
592231504579;-2VKVjgNuE0_000000_000010;test;A man instructing students on how to do exercises in the classroom.;;;;
871647136498;-2vdj0y_rI4_000055_000065;test;A small boy is counting toy money by placing each note onto a pile on the floor but doing so rather slowly and with difficulty.;;;;
613187077159;-3GJ6WdOrOw_000044_000054;test;Shows three people bungee jumping off a bridge, a woman in the middle of it and a guy looking exciting.;;;;
532916198557;-5X5a5u_qJ0_000000_000010;test;An individual shows off an elaborate way to shuffle cards.;;;;
409349138093;-6CM7VV8-_w_000262_000272;test;A lady is cartwheeling while a man in the background is shouting.;;;;
43489390752;-6WaGE52Odw_000000_000010;test;a overweight woman walks up and carries a heavy weight;;;;
475344213609;-6wNVod8iag_000377_000387;test;In a room a girl is playing a piano music.;;;;
942111527129;-6yaNVdS-2E_000000_000010;test;A karate kid breaks a board that was held by an adult man.;;;;
577947964947;-72xNEx6hZo_000214_000224;test;A man riding a small tractor uses it to blow snow from around a house.;;;;
587324170430;-89t2FKhgJk_000003_000013;test;A man is throwing an exercise ball at a wall and catching it.;;;;
840153587035;-CHTxmgMUes_000010_000020;test;Two boys are sitting in the seats of a bus with one of the boys eating snacks out of a bag.;;;;
298605722478;-D6-UmndVJk_000001_000011;test;A boy pushes a wooden chair with a green ring on it.;;;;
897641585490;-EY5C7ExBO4_000133_000143;test;A person holds a large fungus, picks up another one, drops it and brushes dirt off the large fungus.;;;;
548953637025;-FOfyuyabWQ_000016_000026;test;The man suspended outside the window is cleaning the glass.;;;;
708322577045;-GGG0mwXLFw_000000_000010;test;A person is shown with a beer in there hands drinking it.;;;;
342659374021;-IGwsxNxUpo_000002_000012;test;A woman spits a log with an ax and gets excited when she does it.;;;;
733457792907;-LbB4qrpeFY_000194_000204;test;a teenager is sitting on a bed and he is shredding a lot of paper;;;;
511856836472;-LsQK3zOcwo_000194_000204;test;A crowd watches as two Hockey Teams duke it out on the ice rink.;;;;
324840481342;-M3_7e_exd8_000108_000118;test;A bartender stands before and audience and acrobatically mixes drinks.;;;;
77808538065;-MUTGKtPyX0_000063_000073;test;A woman holds a phone near a bitcoin ATM and takes a receipt while another woman explains the process.;;;;
21471893595;-MV_iN5WXuw_000002_000012;test;A person runs a red mower on grass near some leaves, the gusts from the mower blowing leaves.;;;;
64042606007;-N5C2S2KW80_000018_000028;test;A baby crawling on the floor towards some leggo toys;;;;
744387812914;-PCVHF3Kp3M_000169_000179;test;Pieces of a broken guitar are tossed onto the carpet by a young man with a grin on his face.;;;;
350240704786;-Rb4JyBZ04Q_000000_000010;test;In slow motion a  young boy demonstrates a backwards flip.;;;;
329192976529;-Si5SfAGWek_000000_000010;test;A girl is listening to music and then she puts her head on the floor and does a head stand against the wall.;;;;
11877799829;-Tc2NGLTTD0_000121_000131;test;A woman explains how to thread a piece of thread into a sewing machine.;;;;
139489585548;-VatMZ0ztMk_000000_000010;test;A man is in pain as a wax strip is pulled off his chest and then reapplied.;;;;
95679742790;-W04ILeepgw_000000_000010;test;Two skiers line up and then hit a small jump at the ski resort.;;;;
144606977682;-ZoW0nCjxJw_000000_000010;test;Someone is trying to cut an apple in half but during the process they poke their finger and exclaim.;;;;
46799872048;-_axH6kxbic_000003_000013;test;People are playing poker and a girl goes all in and loses to someone thens someone else has a better hand.;;;;
866008832483;-_hu_Ld-ddk_000007_000017;test;A woman discusses how you can boil potatoes before actually peeling them.;;;;
420251139254;-_oOuXwO5tQ_000021_000031;test;People cheer as they watch the uncovered after a massage.;;;;
350902037425;-aQR-rCWaVQ_000016_000026;test;A small male child is kicking a soccer ball on grass.;;;;
650390795548;-abgu7xMKe8_000151_000161;test;A man tells how to cook eggs and tells how long it takes.;;;;
599818579964;-b6gqj_mZOs_000009_000019;test;A football game is shown and two uniformed teams are playing while the crowd cheers.;;;;
454570861062;-d7gxstQux4_000067_000077;test;A toddler wipes and blows their nose with a tissue.;;;;
412580042985;-dHjiNfYz4E_000015_000025;test;A person wearing a headlamp huffs and puffs while crawling across the floor of a cave.;;;;
436959147599;-d_oTAmUrII_000000_000010;test;A young boy runs, jumps, and kicks with both feet and hanging, punching bag in slow motion.;;;;
329287622312;-fvtIUVgGtc_000223_000233;test;A man demonstrates how to apply stippled paint indoors with a paint roller.;;;;
604033244718;-gsRLvAO4mw_000022_000032;test;A group of boys surround one boy who is parasails from the beach.;;;;
158836988883;-igwdtV9JU8_000000_000010;test;A man walks his dog outside in the snow and the dog jumps into the snow.;;;;
345387508538;-jOClYqKtE8_000003_000013;test;People in a bowling alley throw bowling balls down the lane and people talk.;;;;
463309897578;-jTsiLl3m3w_000193_000203;test;An ice skater is completing a move to demonstrate instructions.;;;;
713400505376;-kmzssWKO-o_000029_000039;test;A man is speaking in a language other than English on a stage with people behind him.;;;;
678513606253;-l309dqYR-8_000113_000123;test;A guy uses a dish sponge to wash dirty dishes.;;;;
752533734976;-myPMnDFa4Q_000003_000013;test;Two teenagers are seen swinging on a swing set while another stands by.;;;;
694761436007;-mzTg9hPn5M_000096_000106;test;A man places a toy baby in a high chair at a table, the table is full of toy plates.;;;;
39455971399;-ngkOG5vwkE_000025_000035;test;A woman with a leaf blower on her back laughs at being called an astronaut.;;;;
301789199939;-pHrb1FLXfY_000011_000021;test;A child slides down a pool slide at intervals while a person makes a comment.;;;;
600041937190;-sHSaxfCV5k_000000_000010;test;A woman skillfully and tactfully demonstrating with a Stability Ball Trunk;;;;
273597069622;-u5A74I0--M_000012_000022;test;A school of fish swimming around a scuba diver with music in the background.;;;;
216792552936;-uayIf2Y92U_000036_000046;test;A girl demonstrates how to put in and move around a contact lense.;;;;
587004573620;0-3yl2_Myso_000003_000013;test;Three men tap dancing on a wooden floor in front of a band stand.;;;;
366730742937;0-NbSopwDlk_000094_000104;test;A woman is cutting the meat of a watermelon in pieces from the rind and putting them in a bowl.;;;;
394702765295;01BFInmg3Zs_000001_000011;test;The lady on a wheelchair is trying to do a wheelie exhibition at the party.;;;;
162448225554;02YywtEHEWY_000388_000398;test;A man practices agility and dribbling skillings using basketball and a baseball.;;;;
624311623032;05DTHPMVt_I_000005_000015;test;An announcer yells about a man that is on a track.;;;;
932289894285;05DTqECiJtI_000223_000233;test;The Swiss 4-man bobsled team starts a run down an icy track.;;;;
842393281769;06fOUg4SADg_000003_000013;test;A man is counting a wad of money at a high speed.;;;;
271671356879;075Sp8SBR98_000000_000010;test;Two people balancing themselves and trowing balls back forth to each other.;;;;
819337997511;08OBRf76kdw_000015_000025;test;A girl was filmed putting her tongue on a toilet seat then yelling and drinking water.;;;;
183649394409;08jcCNdrp4E_000044_000054;test;A guy is walking across a tight rope in a backyard.;;;;
860679982028;08qD_jd4qLY_000066_000076;test;A person painting her toe nails red while music plays in the background.;;;;
294728696573;0AKL0DwYN2c_000087_000097;test;A young child is seen picking an apple from a tree.;;;;
171060866457;0AaSiIVdKXU_000027_000037;test;a large yellow tractor pushes some dirt outside in the day;;;;
692620371176;0B7puDmojro_000061_000071;test;A construction truck is emptying dirt from a large container.;;;;
831571982179;0DtaFHAH_bY_000000_000010;test;People are walking around holding tools through the bushes outside.;;;;
283112617344;0EM_2IHwkSY_000070_000080;test;In a church, a young man is playing the saxophone in front of the church.;;;;
706377755170;0FuVWCWL1n4_000018_000028;test;The lady is trying to show how to put a thread through a needle.;;;;
650050210294;0GWr1EV6ZuY_000106_000116;test;A woman with postcards on the wall behind is skilfully playing the bass guitar and fretting well.;;;;
989834087566;0Hmw2Try_M0_001049_001059;test;An authentic Native American arrowhead is shown being made in the traditional way.;;;;
924599993521;0KV2qAGPx1U_000033_000043;test;a man is tossing a soccer ball and trying to catch with when it rebound while another man supervise;;;;
718854629857;0L44b3HExVA_000031_000041;test;a person on stage singing and dancing in front of other people;;;;
708986224412;0LPPXRmZV8g_000103_000113;test;A man putting up bricks on a wall.;;;;
28931249237;0LY2o7pBVCo_000028_000038;test;A little girl is jumping up and down in an inflatable.;;;;
181189983487;0OfYCZ3Kiow_000084_000094;test;A tower is seen being built using a number of cards on the table.;;;;
988518970643;0OjaGxvpEzo_000026_000036;test;a baby is trying to crawl over a blanket to reach another blankert;;;;
986667327151;0Q_QyVrbQKI_000015_000025;test;Someone opening and then closing a refrigerator and then opening and closing the freezer.;;;;
546467836970;0S3itzH8NBU_000000_000010;test;An Asian girl is singing happy birthday song in front of her shirtless father.;;;;
922835163697;0SDk813UzEo_000043_000053;test;A man is rolling snow in a yard to make a big ball and a little child watches.;;;;
690449032266;0Sszl-X6R7M_000029_000039;test;A kid is drumming to a beat on his drum set.;;;;
293628219909;0XHT4ID7Wkk_000004_000014;test;A young man in basketball clothes dribbles two balls at once in a gym.;;;;
190753008890;0_VIUYS5b1E_000043_000053;test;A young child is sitting at an organ playing the keys while a beat plays in the background.;;;;
784571539395;0elHrwxt_bI_000004_000014;test;A woman and man are making sausages together as a small crowd watches.;;;;
812623357204;0gZqPa1qo4s_000013_000023;test;A boy rolls around in roller skates while holding onto a balancing support.;;;;
54292803870;0hDMPpYEJGM_000073_000083;test;A man uses a tool to carve an ice sculpture while a class of people watch him.;;;;
785971810449;0hVtX45KhS8_000075_000085;test;Kids swim racing in an indoor swimming pool.;;;;
59696865533;0jReAaglfds_000000_000010;test;A man is sitting with a long pipe in his hand, and blowing smoke rings.;;;;
52107016700;0jVorDbYBVs_000000_000010;test;A group of children are playing a musical piece using a band of instruments.;;;;
554657178159;0jbMrrJ9yXA_000000_000010;test;Two girls are laughing and screaming while play wrestling on the floor.;;;;
273551563441;0lqKvDiwZDc_000171_000181;test;People are kayaking in an orange kayak down a muddy river.;;;;
778538168792;0mvWamNDkB4_000007_000017;test;Someone is laughing in the dark as a lighter is lit.;;;;
856226921720;0nQBmFswEOw_000062_000072;test;A person points at a part of an electric cutting tool, then runs it.;;;;
125666629505;0o-DvBPWSEI_000087_000097;test;A slow motion capture of a person riding and jumping their bike.;;;;
777641842337;0pj7BQ5357w_000000_000010;test;A girl has two rattles in her hand and is dancing with her sunglasses on.;;;;
818738641020;0qb7N_CyrcM_000884_000894;test;A member of a band is playing the saxophone and doing a solo.;;;;
609908415808;0rlX8NpofKs_000000_000010;test;A guy with back top and hat was fixing the drill then switched it on;;;;
496719510057;0taYGzC2ZCc_000189_000199;test;A guy is using a brush and a cloth to buff a black boot.;;;;
92441163085;0uxtqCy2nUI_000008_000018;test;A little girl rides a scooter in an asphalt cul-de-sac.;;;;
969920109927;0vNsmpUxHT0_000024_000034;test;Two girls are making a video to ask people which cap they prefer.;;;;
76901933036;0w7jPdjFhfg_000336_000346;test;A carpenter shows how to drill a hole in a piece of wood.;;;;
588797738865;0y9jAiuCu78_000073_000083;test;A boy is having his hair shaved off by two men standing next to him.;;;;
868140565676;0ybnpf_KSwg_000089_000099;test;there is flood and a motorcycle is in the flood. there are a lot of people near the flood.;;;;
7951772186;0zeq-hN8X-U_000112_000122;test;Someone at a table shows how to fold a napkin to contain the sliverware.;;;;
709764640538;1-o0dctUmb4_000007_000017;test;A man takes a bite of a stack of burgers and fries from McDonald's.;;;;
84447998956;10UDBRZ5wnM_000000_000010;test;A young kid is making foam balloons  using a certain  object;;;;
992906933448;10VlOsVeZb8_000000_000010;test;Two girls are making a video of themselves waking up in bed.;;;;
915618595716;11DNgvKLRHM_000078_000088;test;A man sitting on a couch, singing into a microphone.;;;;
14704798147;144kxqKEkNE_000000_000010;test;A man is alone in the dark outdoors playing with fire on a stick;;;;
560096610427;189I4dXwycI_000014_000024;test;A man tries to get pass another man but is being blocked.;;;;
774683819571;19hKnhFMLUs_000008_000018;test;A man is on the water in a boat trying to maneuver his way around.;;;;
844787451857;19zOVnkSOeM_000000_000010;test;Football team makes a field goal during a game with fans in the bleachers.;;;;
468811433044;1BOQ7BWfq-0_000028_000038;test;The camera pans around a street corner at night as a car passes, then focuses on a face close up;;;;
145575284516;1CysU81R_uk_000000_000010;test;A baby boy hugs a Mickey Mouse mascot in fascination.;;;;
110844517203;1DAtchstb_4_000004_000014;test;A little boy opens a present as a woman helps him and a man talks to him.;;;;
455259736648;1DSNpTTsJJ4_000006_000016;test;Two boys are dancing in the same fashion in unison with one another;;;;
570243376564;1EhggBBgtLo_000031_000041;test;A man is standing in front of a crowd doing call outs for an auction.;;;;
209331915755;1Ez_zoJDukw_000014_000024;test;This person was jet skiing by being pulled by a boat on the water.;;;;
418171635126;1Gs0JSGXrvc_000040_000050;test;A guy takes the ropes tied down to a dock and puts them on his boat.;;;;
752665162800;1HDx1DeSq6A_000136_000146;test;A man is cooking food inside of a skillet on top of the stove in a kitchen.;;;;
139006988572;1OP0uCl3Awc_000000_000010;test;A young woman in a costume dances back and forth in a room.;;;;
143333005155;1SBvhaVw4Mo_000017_000027;test;A young person explains and shows the folding of a stiff piece of paper.;;;;
736774702732;1SzM6XlB81s_000000_000010;test;A Champion eyeglasses commercial showing different color frames.;;;;
643650960294;1VI-mKOtIJo_000002_000012;test;Man lifts shot glass, hesitates, lifts drink to mouth, and drinks while tilting head back.;;;;
39037337986;1YbLsCfZh6o_000004_000014;test;A person is break dancing on the floor in a very dark club lit by neon lights.;;;;
266245435616;1ah8avfU5YE_000053_000063;test;A person sets a shirt on a piece of cardboard and folds it.;;;;
928373511632;1bSCx4MNLCQ_000225_000235;test;A person show how much trouble it is to send  text on a phone with  broken screen.;;;;
759571301528;1dmiavULOAg_000003_000013;test;A kid is yelling in the mud while he is being laughed at.;;;;
325191385783;1f5-tFExbC8_000194_000204;test;A man sets on a horse near a large horse carrying trailer.;;;;
914341374308;1iX9rmvzOHI_000039_000049;test;A man paints an interior wall using a covered roller painting device.;;;;
588914076477;1j6EGArHUYQ_000038_000048;test;Someone uses a black permanent marker to graffiti their name on a peice of wood.;;;;
18803316470;1nihsi5qNJA_000074_000084;test;A boy removes his glasses and then puts them on, then puts his arms on the table and rests his head.;;;;
870768569477;1onZf1b-az4_000000_000010;test;Two young people are playing ping pong while two others are standing nearby.;;;;
269958433054;1rsLh2kG96A_000106_000116;test;As the country music plays, the man does a dance move.;;;;
258632712140;1sazJwkVbNY_000010_000020;test;Several teenage girls are playing a sports game inside of a closed arena.;;;;
538977061762;1u2GWe1hxk0_000007_000017;test;The man is in the gym and he is using a piece of equipment to perform triceps press-downs.;;;;
701912218903;1vsk3D51Otc_000000_000010;test;A seated person with long hair bangs their head as metal music plays.;;;;
393664431673;1xS5GcVGBVk_000013_000023;test;A mother monkey and two little ones are sitting and eating something in the pavement;;;;
679360771733;1zSg9oighVw_000000_000010;test;There is an outdoor crowd of people and music playing and they are passing some guy around on top the crowd.;;;;
714487681127;20gCvLBfyzQ_000069_000079;test;The side view of a snowmobile is shown as it rides along with country music playing.;;;;
319740690626;2180JaxCXZ4_000010_000020;test;A person is talking as he explains how to use a baseball bat.;;;;
419734669945;22YkQbUA7iY_000180_000190;test;A man juggles balls next to a house, spins around, and keeps juggling.;;;;
342994835514;29TTD_YMKo8_000026_000036;test;A woman does yoga in her bedroom with her dog beside her;;;;
809762214171;29q6FLxl1sE_000007_000017;test;A women is playing darts in a club while music plays;;;;
79023387654;2BNkQFQGaNI_000572_000582;test;Several bees making honey while someone prepares to collect some honey.;;;;
677534215512;2BwBZ9IQzAk_000203_000213;test;a group of people outside playing a sports game in front of others;;;;
660193597618;2DfK16gO5mc_000019_000029;test;A person in a kitchen uses a knife and their hands to hollow out the inside of a pumpkin.;;;;
413315746360;2E6ZLAK593E_000002_000012;test;A splash is made as a kid surfaces in the water then the camera reqinds showing a kid standing on a cliff above the water.;;;;
386711151849;2EkpqUeIUGA_000069_000079;test;The construction worker wore a yellow reflective vest over his coveralls while spray painting the wall.;;;;
229240165343;2FgAQrOe4lg_000208_000218;test;A man demonstrates how to adjust a camera on a microscope.;;;;
15272963492;2HnBaGajUi8_000083_000093;test;A potter dits at his wheel as it slows and lift a pot off it and hands it to a woman sitting opposite him, as both pose for the camera.;;;;
680513744758;2Hr0tto-lHo_000000_000010;test;A woman in a gym uses two ropes and hops up and down while swinging her arms in front of her.;;;;
761106374739;2L8B__meOLE_000020_000030;test;People are floating with parachutes on a cloudy day while music plays.;;;;
240410252021;2Vzh7XO912Q_000000_000010;test;A baby is laughing while sitting on a carpet and tearing pieces of paper.;;;;
643391317395;2WnsuRXYu3M_000028_000038;test;A young boy plays in sand with his mother who is helping.;;;;
601115871537;2WrXst0hq8E_000035_000045;test;A child in a blue hat is playing with his shoe;;;;
657839809497;2ZzgcL5BM5c_000005_000015;test;A man shows off his view and them focuses on people eating.;;;;
44923127645;2_mLuPuhy7Y_000000_000010;test;A person pumps oil out of a bottle and then begins to rub it on the back of someone lying down.;;;;
467408679361;2bA0vJGml6Q_000005_000015;test;A young boy kicks soccer balls into a net while on a grass field.;;;;
981142682013;2bCUoQLw7OE_000000_000010;test;An orchestra band is seated down playing various musical instruments.;;;;
416868208212;2bRXcLakTZQ_000002_000012;test;A woman is doing a backbend in a hallway of a house.;;;;
474945282723;2cLWIXDi3ks_000077_000087;test;A person is trying to build a house of cards.;;;;
991506224128;2f1o8NBxqX0_000012_000022;test;Four men on a bobsled are sliding down a snowy hill while drinking from cans.;;;;
272762103169;2fojVBo1tv0_000043_000053;test;a fast forward play of something flat and then a guy is seen walking behind a hot tub.;;;;
618786353908;2fx306CeqEI_000025_000035;test;A man is sliding down backwards on a very tall infatable waterslide.;;;;
355953126137;2fzKbkVcE70_000011_000021;test;A man and a child sit on the back of a mule then a woman takes the child.;;;;
45721571521;2hahR8RONTs_000032_000042;test;a man is walking in a forest and throwing axes on a tree,;;;;
