id;type;start;end;desc;tags
tbbt_s04e05_m001;mask;0.00;3.36;;
tbbt_s04e05_d89471;event;26.80;28.42;Leonard, in a red shirt, while sitting on the couch, changes his position and crosses both legs.;
tbbt_s04e05_d89473;event;35.30;37.21;Sheldon, in a green shirt, makes a set of air quotations with his fingers while sitting at the couch.;
tbbt_s04e05_d70062;event;103.57;106.91;Sheldon, in a green shirt, turns toward Leonard and makes Hulk arms while sitting on the couch.;
tbbt_s04e05_m002;mask;108.29;133.62;;
tbbt_s04e05_d21110;event;133.83;138.71;Leonard, in purple hoodie, and Sheldon simultaneously lift their bags over their shoulders.;
tbbt_s04e05_d75516;event;197.71;208.08;Sheldon, in a green shirt, and Leonard, in a red shirt, walk down a flight of stairs and stop in front of a bike in the hallway.;
tbbt_s04e05_m005;mask;218.34;219.67;;przejscie
tbbt_s04e05_d75515;event;228.22;233.46;Howard, in a plaid orange shirt, takes his phone out of his pocket and puts it to his ear at the comic store.;
tbbt_s04e05_m006;mask;337.71;339.06;;przejscie
tbbt_s04e05_d13249;event;361.92;365.59;Leonard is laying along the entire couch, then bends his knees freeing up one end of the couch where Sheldon sits down with a magazine in his hands.;
tbbt_s04e05_d13247;event;364.02;365.53;Sheldon sits down on the couch with a comic book in his hands, next to lying on the sofa Leonard, in a red shirt.;
tbbt_s04e05_d75625;event;372.84;376.28;Leonard, in a red shirt, reaches from the sofa for his glasses on the coffee table and puts them on.;
tbbt_s04e05_d75626;event;378.94;380.80;Sheldon, in a green shirt, sets down his comic book on the arm of the sofa.;
tbbt_s04e05_d13258;event;458.74;464.24;Sheldon starts to close his laptop a bit before opening it again while sitting on the couch.;
tbbt_s04e05_d13257;event;474.00;489.00;Sheldon, in a green shirt, darts up from the couch and rushes down three flights of stairs shouting for Leonard.;
tbbt_s04e05_d21567;event;533.81;544.86;Leonard puts his hand on the doorknob and holds it while talking with Sheldon, in a green shirt.;
tbbt_s04e05_m007;mask;569.39;570.72;;przejscie
tbbt_s04e05_d13275;event;659.57;661.29;Howard closes his front door behind him, at night, as he is talking to Leonard, in a blue shirt.;
tbbt_s04e05_m003;mask;663.83;665.18;;przejscie
tbbt_s04e05_d13272;event;709.55;714.16;Sheldon takes number 2 sign off of his desk and shows it to Leonard.;
tbbt_s04e05_d55106;event;763.24;768.18;Sheldon, in an orange shirt, leaves Leonard's side to hide close to the wall in the hallway.;
tbbt_s04e05_m008;mask;786.87;788.23;;przejscie
tbbt_s04e05_d66686;event;818.83;822.55;A woman in a blue top, uses a cloth napkin to dab each of her armpits at the restaurant.;
tbbt_s04e05_d66689;event;825.42;830.85;A woman in a blue top, shakes Leonard's hand and leans to him closer as she sits beside him at the restaurant table.;
tbbt_s04e05_d66687;event;830.84;832.26;A woman in a blue top,  slaps Leonard on the front of his shoulder as she laughs at the restaurant.;
tbbt_s04e05_d66656;event;853.08;856.79;Leonard says something and a woman in a blue top, pretends to hit him and laughs hysterically, at the restaurant.;
tbbt_s04e05_m009;mask;860.15;861.48;;przejscie
tbbt_s04e05_d87695;event;916.11;927.68;Sheldon, in an orange shirt, walks down the apartment stairs and jumps off the last step.;
tbbt_s04e05_d87697;event;930.18;931.83;A shot of Amy, in a purple jacket, standing outside the glass doors of Sheldon's apartment building.;
tbbt_s04e05_m010;mask;939.78;941.11;;przejscie
tbbt_s04e05_d55090;event;971.96;973.24;A woman in a blue top, turns and points behind her as she is leaving the restaurant dining room.;
tbbt_s04e05_m011;mask;978.55;979.89;;przejscie
tbbt_s04e05_d55093;event;993.75;998.59;Someone in a red puffer jacket and a red hat, walks slowly down the stairs and Amy stares at him.;
tbbt_s04e05_d55091;event;1003.12;1004.81;Amy, in a purple jacket, puts her laptop bag over her shoulder and stands up from the steps.;
tbbt_s04e05_d55092;event;1006.73;1008.79;Sheldon, in a red puffer jacket and a red hat, takes off a pair of funny novelty glasses while talking to Amy.;
tbbt_s04e05_m012;mask;1067.31;1068.62;;przejscie
tbbt_s04e05_d55083;event;1109.23;1113.70;A woman in a blue top, and Bernadette sit down at the table with Leonard and Howard.;
tbbt_s04e05_d55081;event;1123.27;1130.21;A woman in a blue top, picks up a glass of white wine, winks at Leonard and takes a drink.;
tbbt_s04e05_m013;mask;1136.78;1138.12;;przejscie
tbbt_s04e05_d55084;event;1139.44;1145.51;Sheldon, in a purple shirt, is speaking to Amy's mother through Skype on his laptop while she turns her head at him, smiling.;
tbbt_s04e05_d55085;event;1171.29;1177.11;Amy and Sheldon, in a purple shirt, sit on the couch video chatting with Mrs. Fowler, who waves slowly with a shocked expression.;
tbbt_s04e05_d55086;event;1182.32;1185.33;Sheldon, in a purple shirt, closes a red laptop that's sitting on Amy's lap, while sitting on a couch.;
tbbt_s04e05_m004;mask;1206.78;1236.11;;
