vocabulary;source;desc_id;text;phrase;matched_class;confidence
objects_yoloe_promptfree;vatex;Myf-EHhmwLo_000056_000066;A woman in a court room reading and telling the court some information.;court room;room;1.000000
objects_yoloe_promptfree;vatex;T4GgwfklMqk_000001_000011;Someone demonstrates various techniques for shuffling a deck of cards.;deck;deck;1.000000
objects_yoloe_promptfree;vatex;QhWJ4lNowjU_000253_000263;A man is demonstrating how to cook a dish while browning the product.;dish;bowl;0.700965
objects_yoloe_promptfree;vatex;uu5CsLQuzN4_000005_000015;Three guys are in a room and the closest up front inserts something into his mouth.;closest up front inserts;meet;0.651673
objects_yoloe_promptfree;vatex;avDKo2qRcZQ_000029_000039;A person uses a special pen to write on a piece of paper in caligraphy.;caligraphy;calligraphy;0.930102
objects_yoloe_promptfree;vatex;ILvS3LQug5k_000013_000023;Someone is clipping the nails of a calm animal and commentates about avoiding the quick.;commentates;commentator;0.826579
objects_yoloe_promptfree;vatex;EDhEshycrhg_000046_000056;A little girl is riding a pink scooter down the street.;street;road;0.722786
objects_yoloe_promptfree;vatex;MhIBVCse204_000095_000105;a man using a knife is cutting a pumpkin in a vineyard while giving exolanation;pumpkin;pumpkin;1.000000
objects_yoloe_promptfree;vatex;-1DARulHLgw_000007_000017;The technique to do full situps is being demonstrated on a mat.;full situps;slope;0.525500
objects_yoloe_promptfree;vatex;ar2xtNDcGEc_000035_000045;A man is riding a lawn tractor and goes over a some plastic.;plastic;plastic;1.000000
objects_yoloe_promptfree;vatex;0gQxSyreT3Q_000008_000018;Women are playing and laughing on the beach while listening to music.;beach;beach;1.000000
objects_yoloe_promptfree;vatex;IFndtAos_rM_000000_000010;Several people are in a gym as one man takes off and jumps backwards over a hurtle.;hurtle;hill;0.531625
objects_yoloe_promptfree;vatex;jnnMN7t-63U_000084_000094;Four men at a table playing dominoes while talking to each other.;table playing dominoes;domino;1.000000
objects_yoloe_promptfree;vatex;_4nE_YZZUKc_000018_000028;A man describes the features and functions of a sawing tool.;features;image;0.683719
objects_yoloe_promptfree;vatex;M72agpjFHYM_000008_000018;A man stands and looks at his neighbor in his cubicle before he sits down, then the neighbor pounds on his keyboard and hits the monitor with it.;cubicle;office cubicle;0.898721
objects_yoloe_promptfree;vatex;T6VthjnJhrk_000048_000058;Workers are in a food production factory making sausage links.;food production factory making sausage links;pin;0.684530
objects_yoloe_promptfree;vatex;RuvSvyq8-9A_000008_000018;Two ladies are demonstrating putting a tube on a hair dryer.;hair dryer;hair drier;0.947004
objects_yoloe_promptfree;vatex;k05S3GFNW3M_000004_000014;A person in black is showing how to use a large copy machine.;large copy machine;machine;1.000000
objects_yoloe_promptfree;vatex;NOMUP4W4rWs_000007_000017;A girl is lying in bed and pulls gum out of her mouth.;pulls gum;bubble gum;0.719213
objects_yoloe_promptfree;vatex;WBydpE42YTc_000012_000022;A child is blowing up a balloon with their mouth and then they let it go.;balloon;balloon;1.000000
objects_yoloe_promptfree;vatex;1cWTEvQgvwg_000016_000026;A guy sits on an alligator and holds its head and mouth open.;alligator;crocodile;0.871772
objects_yoloe_promptfree;vatex;rrtLyJs--3w_000173_000183;A person on a jetski is zooming across big waves and jumping.;jetski;speedboat;0.796444
objects_yoloe_promptfree;vatex;XbKpNNxdbRI_000028_000038;Two couples wave as they ride camels and bells jingle.;two couples;couple;1.000000
objects_yoloe_promptfree;vatex;OHt8JWlknFM_000040_000050;A man on a unicycle is jumping over another man and then rides away.;unicycle;monocycle;0.830725
objects_yoloe_promptfree;vatex;_tZuT71OsRY_000026_000036;Two persons were making the spray painting on the ground by using some impressions;impressions;depression;0.768381
objects_yoloe_promptfree;vatex;jpjRqIqSX2U_000688_000698;Two men are fighting in a boxing ring while a referee pulls them off the ropes.;boxing ring;boxing ring;1.000000
objects_yoloe_promptfree;vatex;zqwKGGvPWZc_000016_000026;Two men practice some martial arts are demonstrating a head butt trapping set for the camera.;head butt trapping;mousetrap;0.628658
objects_yoloe_promptfree;vatex;RR18KL8GSe4_000001_000011;A commercial describes a restaurant and shows a couple shots of food and wine;couple shots;shoot;0.776774
objects_yoloe_promptfree;vatex;eXLygHF6El4_000006_000016;A rooster is starting to crow and then a man is cutting grass.;rooster;poultry;0.811116
objects_yoloe_promptfree;vatex;_XH_50Lp8qQ_000013_000023;Two people are unloading a groups of cows from a trailer truck.;cows;cow;1.000000
objects_yoloe_promptfree;vatex;AWjfCxman6A_000183_000193;A lady plays the harp with both hands in a park and another man plays the saxophones.;saxophones;saxophonist;0.864050
objects_yoloe_promptfree;vatex;3becH_Mynns_000311_000321;A person is painting fine details on a painting depicting a Japanese woman.;painting;oil painting;0.826158
objects_yoloe_promptfree;vatex;BwRwhZUVjvI_000127_000137;A boy and a girl are playing rock, paper, scissors together.;rock , paper , scissors;scissors;0.878869
objects_yoloe_promptfree;vatex;NAxGdOGE2rg_000094_000104;A paintng device is used to paint several trimmings in different houses.;several trimmings;trim;0.641243
objects_yoloe_promptfree;vatex;9gV4YReK5p8_000039_000049;A guy is sitting on a snowblower getting ready to move some snow.;snowblower;snowmobile;0.814724
objects_yoloe_promptfree;vatex;KMhfIWXAaWk_000059_000069;A woman is having her makeup done by a different person.;makeup;lipstick;0.785694
objects_yoloe_promptfree;vatex;dyBTNP-O7dY_000000_000010;A boy is sitting in the passenger seat of a sports car and moving the shifter around.;sports car;sports car;1.000000
objects_yoloe_promptfree;vatex;bJYsix7xgYc_000046_000056;Various young mothers have taken their children with them to a baseball game and are sitting in the seats in the stands but one young boy here is enjoying himself eatting a hot dog.;seats;seat;1.000000
objects_yoloe_promptfree;vatex;-2ckVgGKLNU_000002_000012;A person takes a fancy can of beer and pours it into a nice glass.;beer;beer;1.000000
