vocabulary;source;desc_id;text;phrase;matched_class;confidence
expressions_hsemotion;vatex;PNilatJe7p8_000002_000012;A time lapse shows a man grilling burgers and another man mowing the lawn;mow;Anger;0.634936
expressions_hsemotion;tbbt;tbbt_s04e05_d66656;Leonard says something and a woman in a blue top pretends to hit him and laughs hysterically, at the restaurant.;laugh hysterically;Anger;0.761275
expressions_hsemotion;office;office_s02e03_019;Jim with the gold medal chain on his neck claps, wave his hands while smiling.;smile;Happiness;0.749830
expressions_hsemotion;vatex;ESW5Bsdndzw_000003_000013;A woman is laughing, then playing a small green musical instrument.;laugh then;Anger;0.761275
expressions_hsemotion;tbbt;tbbt_s01e15_d96272;Leonard excitedly jumps up and down with the Nintendo controllers over his head.;excitedly;Happiness;0.546699
expressions_hsemotion;vatex;EWwQofpm1ls_000060_000070;A child in uniform and hockey skates slides to one side of the track at full speed and turns to the defense position and another person is excited about the advance.;excited;Happiness;0.654701
expressions_hsemotion;office;office_s03e15_028;Toby in a brown suit looks happy and moves his hand to celebrate.;happy;Fear;0.587235
expressions_hsemotion;vatex;umJqRnwaC_c_000000_000010;The mother is holding her sick baby and holding an automatic steamer under her nostrils, which is helping her to cough and break up phlegm;phlegm;Anger;0.332587
expressions_hsemotion;vatex;FUAtn54mu0M_000019_000029;Someone driving heavy earth-moving equipment bulldozes some trees over.;heavy;Sadness;0.594373
expressions_hsemotion;vatex;dU0nC_6XBVk_000004_000014;A man removes a contact lens as he grimaces and rubs his eye.;grimace;Anger;0.459859
expressions_hsemotion;office;office_s02e03_035;Michael gets emotional and cries with a white paper bird in the background.;emotional;Sadness;0.743322
expressions_hsemotion;office;office_s08e12_048;Oscar with wine splashed on his face shouts and waves his arms with joy.;joy;Fear;0.550594
expressions_hsemotion;office;office_s09e10_028;A bald Meredith rubs mayonnaise into a seated man's hair with a disgusted expression.;disgusted;Disgust;0.733610
expressions_hsemotion;vatex;-2ckVgGKLNU_000002_000012;A person takes a fancy can of beer and pours it into a nice glass.;fancy;Surprise;0.535758
expressions_hsemotion;tbbt;tbbt_s09e12_d20166;A woman in a maroon turtleneck moves a brochure away and looks straight ahead with both hands close together on the desk.;close together;Anger;0.612078
expressions_hsemotion;tbbt;tbbt_s07e02_d71317;Leonard, in a grey hoodie, stands up scared as Sheldon and Amy enter the apartment.;scared;Anger;0.761591
expressions_hsemotion;office;office_s02e03_021;Dwight and Michael laugh while sitting on the floor and eating food.;laugh;Anger;0.761276
expressions_hsemotion;vatex;0ayx557xBZI_000099_000109;A young boy holds a phone to his ear, walks around, and giggles.;giggle;Surprise;0.539456
expressions_hsemotion;office;office_s05e10_023;Michael puts the red jacket on unhappy Meredith.;unhappy;Sadness;0.804815
expressions_hsemotion;vatex;lNeoOwQs450_000000_000010;A person is holding up a spinning fidget spinner on his middle finger.;fidget;Fear;0.626073
